ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,-0.52,-7.27,0,0,62,Technology,Semiconductors
AAPL,Apple Inc,-0.41,-4.95,26,36,66,Technology,Computer Manufacturing
AVGO,Broadcom Inc,0.51,-9.32,14,17,71,Technology,Semiconductors
META,Meta Platforms Inc,-0.81,-8.84,3,19,16,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,-0.02,3.15,72,83,97,Technology,Semiconductors
ASMLF,ASML Holding N.V.,-1.56,7.0,52,60,90,Technology,Semiconductor Equipment & Materials
XOM,Exxon Mobil Corporation,-2.03,-8.62,9,20,47,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,1.12,-3.33,26,28,10,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,1.3,0.28,97,86,24,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,0.93,16.23,72,78,96,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,-2.74,-16.91,0,0,6,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,-2.57,-7.18,4,17,41,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",0.53,29.48,78,85,96,Technology,Semiconductors
KO,The Coca-Cola Company,0.36,0.82,65,61,60,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,1.75,-2.6,96,86,58,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,0.0,-6.44,36,46,50,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,-3.01,-3.32,13,24,45,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,-3.39,-23.62,0,0,9,Consumer Cyclical,Internet Retail
CYATY,CYATY,1.19,9.39,58,69,61,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,-2.04,-3.0,38,43,50,Financial Services,Banks - Diversified
