ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,2.65,-1.29,11,47,36,Technology,Semiconductors
AAPL,Apple Inc,-1.41,13.27,71,70,83,Technology,Computer Manufacturing
AVGO,Broadcom Inc,4.73,5.01,78,100,54,Technology,Semiconductors
META,Meta Platforms Inc,-7.95,-12.05,0,0,10,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,13.0,-10.26,44,46,96,Technology,Semiconductors
ASMLF,ASML Holding N.V.,6.4,-10.18,30,27,90,Technology,Semiconductor Equipment & Materials
XOM,ExxonMobil Holdings Corporation,0.14,15.18,90,85,71,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,3.12,9.04,95,99,17,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,2.49,10.7,100,95,49,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,17.98,-23.91,44,48,94,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,-0.6,-2.76,0,22,10,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,0.23,16.07,89,85,62,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",14.97,-22.91,37,40,95,Technology,Semiconductors
KO,The Coca-Cola Company,-0.66,8.86,78,75,72,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,0.55,9.84,82,80,71,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,-5.03,1.21,41,48,52,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,3.24,22.01,100,100,62,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,2.24,16.28,88,90,13,Consumer Cyclical,Internet Retail
CYATY,CYATY,1.37,-12.1,48,74,35,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,2.01,19.27,100,94,64,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,6.42,13.73,94,90,60,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,12.08,-11.16,31,32,8,Communication Services,Telecom Services
NVS,Novartis AG,-0.25,2.79,77,74,70,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,8.89,-12.82,22,21,51,Communication Services,Telecom Services
NVSEF,Novartis AG,0.0,3.35,85,79,67,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,2.26,13.55,100,95,68,Financial Services,Banks - Diversified
KLAC,KLA Corporation,5.96,-32.26,12,9,82,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,1.0,13.02,94,87,27,Consumer Cyclical,Auto Manufacturers
LRLCF,L'Oréal S.A.,6.3,5.48,100,100,47,Consumer Defensive,Household & Personal Products
SMAWF,Siemens Aktiengesellschaft,4.38,3.06,100,100,55,Industrials,Specialty Industrial Machinery
PANW,"Palo Alto Networks, Inc.",3.67,-7.49,18,41,94,Technology,Computer peripheral equipment
BHP,BHP Group Limited,3.36,4.48,100,100,84,Energy,Coal Mining
AXP,American Express Company,1.82,-2.75,34,53,40,Finance,Finance: Consumer Services
SAP,SAP SE,-2.75,13.65,80,77,15,Technology,Computer Software: Prepackaged Software
APP,AppLovin Corporation,1.1,-28.47,7,10,16,Technology,Computer Software: Programming Data Processing
ADI,"Analog Devices, Inc.",3.76,-5.74,25,35,74,Technology,Semiconductors
HESAF,Hermès International Société en commandite par actions,1.41,-3.24,0,21,9,Consumer Cyclical,Luxury Goods
CMWAY,Commonwealth Bank of Australia,3.21,15.39,100,99,58,Financial Services,Banks - Diversified
PEP,"PepsiCo, Inc.",-2.3,-0.68,56,59,25,Consumer Staples,Beverages (Production/Distribution)
IDEXF,"Industria de Diseño Textil, S.A.",2.67,1.67,93,95,59,Consumer Cyclical,Apparel Retail
ABLZF,ABB Ltd,8.77,-5.76,59,85,76,Industrials,Electrical Equipment & Parts
RIO,Rio Tinto Group,3.76,4.1,100,100,73,Basic Materials,Metal Mining
TMO,Thermo Fisher Scientific Inc.,0.05,12.36,88,82,60,Industrials,Industrial Machinery/Components
