ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,0.23,-3.52,64,85,54,Technology,Semiconductors
AAPL,Apple Inc,-2.14,9.59,88,89,82,Technology,Computer Manufacturing
AVGO,Broadcom Inc,1.98,-7.92,52,77,52,Technology,Semiconductors
META,Meta Platforms Inc,-0.02,11.89,80,89,30,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,1.58,-6.29,10,17,97,Technology,Semiconductors
ASMLF,ASML Holding N.V.,-1.33,-11.48,0,10,91,Technology,Semiconductor Equipment & Materials
XOM,ExxonMobil Holdings Corporation,0.68,7.66,100,100,70,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,2.41,9.84,100,100,17,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,0.71,11.96,100,100,41,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,-2.09,-21.15,0,0,95,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,1.87,4.97,100,100,17,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,1.24,9.26,100,100,67,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",-0.75,-14.81,0,0,95,Technology,Semiconductors
KO,The Coca-Cola Company,0.69,3.44,59,82,66,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,-1.16,2.53,52,85,55,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,-4.14,1.71,42,64,51,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,3.87,4.04,100,100,49,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,3.4,7.37,100,100,17,Consumer Cyclical,Internet Retail
CYATY,CYATY,2.23,-12.72,24,37,30,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,4.06,3.47,100,100,54,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,0.98,0.98,30,51,47,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,1.25,-24.86,10,18,24,Communication Services,Telecom Services
NVS,Novartis AG,-2.73,1.69,12,58,59,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,-1.38,-26.95,0,3,81,Communication Services,Telecom Services
NVSEF,Novartis AG,0.72,5.52,66,83,57,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,3.14,2.48,95,100,64,Financial Services,Banks - Diversified
KLAC,KLA Corporation,-2.42,-20.02,0,0,92,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,0.34,2.29,100,100,23,Consumer Cyclical,Auto Manufacturers
