ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,1.34,2.61,70,53,71,Technology,Semiconductors
AAPL,Apple Inc,-0.26,7.98,95,85,79,Technology,Computer Manufacturing
AVGO,Broadcom Inc,2.97,-1.76,55,35,36,Technology,Semiconductors
META,Meta Platforms Inc,-2.43,21.97,87,82,50,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,2.7,19.25,100,100,97,Technology,Semiconductors
ASMLF,ASML Holding N.V.,4.05,-2.84,55,41,83,Technology,Semiconductor Equipment & Materials
XOM,ExxonMobil Holdings Corporation,0.17,-1.57,55,42,80,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,-1.69,-5.87,0,0,11,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,-0.09,-1.5,0,0,55,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,6.98,-7.22,37,34,88,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,0.79,2.12,57,47,71,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,-0.97,1.82,54,42,80,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",6.51,-10.41,36,32,88,Technology,Semiconductors
KO,The Coca-Cola Company,0.22,-1.9,31,10,74,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,-0.88,-5.41,26,15,67,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,-0.68,-4.31,27,16,64,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,-0.84,0.2,27,10,68,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,0.73,-17.01,3,1,12,Consumer Cyclical,Internet Retail
CYATY,"Contemporary Amperex Technology Co., Limited",-0.74,-19.93,1,0,9,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,-0.85,3.82,61,47,75,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,0.0,5.36,48,37,76,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,-5.12,18.75,70,67,14,Communication Services,Telecom Services
NVS,Novartis AG,-0.39,-10.16,13,8,42,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,-3.69,21.47,77,75,82,Communication Services,Telecom Services
NVSEF,Novartis AG,-5.88,-15.17,0,0,29,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,-0.32,9.59,78,67,82,Financial Services,Banks - Diversified
KLAC,KLA Corporation,4.74,-4.77,41,35,68,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,-1.04,-0.42,12,0,36,Consumer Cyclical,Auto Manufacturers
LRLCF,L'Oréal S.A.,3.64,1.53,86,62,49,Consumer Defensive,Household & Personal Products
SMAWF,Siemens Aktiengesellschaft,0.56,-5.2,11,3,50,Industrials,Specialty Industrial Machinery
PANW,"Palo Alto Networks, Inc.",-3.06,4.01,68,59,95,Technology,Computer peripheral equipment
BHP,BHP Group Limited,-0.34,-5.85,11,1,84,Energy,Coal Mining
AXP,American Express Company,0.13,-5.92,0,0,25,Finance,Finance: Consumer Services
SAP,SAP SE,-1.97,-3.52,24,8,60,Technology,Computer Software: Prepackaged Software
APP,AppLovin Corporation,-4.21,-0.23,26,9,3,Technology,Computer Software: Programming Data Processing
ADI,"Analog Devices, Inc.",3.6,1.79,90,73,69,Technology,Semiconductors
HESAF,Hermès International Société en commandite par actions,-2.25,-15.89,0,0,6,Consumer Cyclical,Luxury Goods
CMWAY,Commonwealth Bank of Australia,-1.74,-2.6,0,0,33,Financial Services,Banks - Diversified
PEP,"PepsiCo, Inc.",-2.93,-7.7,0,0,22,Consumer Staples,Beverages (Production/Distribution)
IDEXF,"Industria de Diseño Textil, S.A.",-2.27,-14.83,0,0,33,Consumer Cyclical,Apparel Retail
ABLZF,ABB Ltd,1.19,-1.77,74,49,66,Industrials,Electrical Equipment & Parts
RIO,Rio Tinto Group,-0.68,-4.7,4,0,76,Basic Materials,Metal Mining
TMO,Thermo Fisher Scientific Inc.,-1.04,3.89,87,79,86,Industrials,Industrial Machinery/Components
AMGN,Amgen Inc.,1.55,-10.57,13,7,75,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RTPPF,Rio Tinto Group,-3.95,0.03,3,0,77,Basic Materials,Other Industrial Metals & Mining
DIS,The Walt Disney Company,-2.54,-4.33,0,0,32,Consumer Discretionary,Services-Misc. Amusement & Recreation
TJX,"The TJX Companies, Inc.",0.55,-9.56,17,8,13,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ALIZY,Allianz SE,-2.05,-0.49,0,0,73,Financial Services,Insurance - Diversified
EADSY,Airbus SE,-0.66,-6.63,0,0,46,Industrials,Aerospace & Defense
SMEGF,Siemens Energy AG,-2.15,-9.48,30,20,46,Industrials,Specialty Industrial Machinery
DTEGY,Deutsche Telekom AG,-3.61,-6.85,0,0,32,Communication Services,Telecom Services
FRCOF,"Fast Retailing Co., Ltd.",2.82,-10.11,27,16,52,Consumer Cyclical,Apparel Retail
GLW,Corning Incorporated,1.58,-0.68,25,17,81,Industrials,Telecommunications Equipment
SHOP,Shopify Inc.,-0.08,-12.69,6,3,41,Technology,Computer Software: Prepackaged Software
IBDSF,"Iberdrola, S.A.",-0.47,-0.47,82,34,54,Utilities,Utilities - Diversified
RYCEY,Rolls-Royce Holdings plc,-1.67,-4.57,18,4,70,Industrials,Aerospace & Defense
TOELY,Tokyo Electron Limited,0.0,0.0,0,0,38,Technology,Semiconductor Equipment & Materials
SAFRY,Safran SA,-2.18,-7.02,0,0,49,Industrials,Aerospace & Defense
HTHIY,"Hitachi, Ltd.",-0.11,7.41,97,90,72,Industrials,Conglomerates
WELL,Welltower Inc.,-1.46,-3.59,0,0,72,Real Estate,Real Estate Investment Trusts
UBER,"Uber Technologies, Inc.",-0.52,-10.25,0,0,21,Consumer Discretionary,Business Services
CIHHF,"China Merchants Bank Co., Ltd.",5.89,11.27,100,100,73,Financial Services,Banks - Regional
DBSDY,DBS Group Holdings Ltd,-0.45,1.1,35,12,86,Financial Services,Banks - Regional
COP,ConocoPhillips,-1.02,-2.27,25,15,82,Energy,Integrated oil Companies
PLDGP,"Prologis, Inc.",-0.16,1.14,73,39,35,Real Estate,REIT - Industrial
BBVXF,"Banco Bilbao Vizcaya Argentaria, S.A.",-5.12,-2.11,0,0,82,Financial Services,Banks - Diversified
BTAFF,British American Tobacco p.l.c.,-3.91,-2.05,12,0,35,Consumer Defensive,Tobacco
BKNG,Booking Holdings Inc.,-1.54,-19.8,0,0,20,Consumer Discretionary,Transportation Services
NOW,"ServiceNow, Inc.",-2.17,4.41,46,37,62,Technology,Computer Software: Prepackaged Software
CFRUY,Compagnie Financière Richemont SA,-1.3,-7.68,7,0,46,Consumer Cyclical,Luxury Goods
IFNNF,Infineon Technologies AG,-1.71,1.41,29,15,72,Technology,Semiconductors
IFNNY,Infineon Technologies AG,3.8,0.11,46,36,75,Technology,Semiconductors
KYCCF,Keyence Corporation,-0.25,-3.25,2,0,72,Technology,Scientific & Technical Instruments
VRT,Vertiv Holdings Co,3.27,-5.74,24,18,68,Technology,Industrial Machinery/Components
PDD,PDD Holdings Inc.,1.51,-11.86,11,6,12,Technology,EDP Services
ENNPF,Enbridge Inc.,0.0,-0.55,100,86,53,Energy,Oil & Gas Midstream
ZIJMF,Zijin Mining Group Company Limited,3.6,4.77,47,38,67,Basic Materials,Gold
ENB,Enbridge Inc.,-0.04,-4.43,32,15,32,Energy,Natural Gas Distribution
ADTTF,Advantest Corporation,11.8,0.34,58,54,95,Technology,Semiconductor Equipment & Materials
NEM,Newmont Corporation,-0.79,-3.11,6,0,83,Basic Materials,Precious Metals
BMY,Bristol-Myers Squibb Company,0.35,-3.68,3,0,76,Health Care,Biotechnology: Pharmaceutical Preparations
CVS,CVS Health Corporation,-1.58,-5.14,0,0,57,Consumer Staples,Retail-Drug Stores and Proprietary Stores
ACN,Accenture plc,-4.73,-0.03,27,20,48,Consumer Discretionary,Business Services
ENLAY,Enel SpA,-2.03,-8.42,0,0,34,Utilities,Utilities - Diversified
PGR,The Progressive Corporation,-1.3,-3.11,0,0,40,Finance,Property-Casualty Insurers
AAGIY,AIA Group Limited,-1.26,6.13,76,61,40,Financial Services,Insurance - Life
BP,BP p.l.c.,-1.85,-1.24,50,39,74,Energy,Integrated oil Companies
PH,Parker-Hannifin Corporation,1.97,-5.47,16,10,55,Industrials,Metal Fabrications
BPAQF,BP p.l.c.,0.0,-2.53,59,51,71,Energy,Oil & Gas Integrated
ZFSVF,Zurich Insurance Group AG,0.0,-1.07,47,28,44,Financial Services,Insurance - Diversified
CEG,Constellation Energy Corporation,-3.08,-6.67,0,0,13,Utilities,Electric Utilities: Central
HWM,Howmet Aerospace Inc.,1.73,-16.07,8,5,40,Industrials,Metal Fabrications
BAMGF,Brookfield Corporation,0.0,2.05,100,99,60,Financial Services,Asset Management
FTNT,"Fortinet, Inc.",-1.59,12.63,81,69,95,Technology,Computer peripheral equipment
CME,CME Group Inc.,1.79,2.38,32,18,50,Finance,Investment Bankers/Brokers/Service
FDX,FedEx Corporation,-0.73,-6.5,0,0,73,Consumer Discretionary,Air Freight/Delivery Services
SHECY,"Shin-Etsu Chemical Co., Ltd.",-0.75,-3.3,23,0,34,Basic Materials,Chemicals
