ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,-2.37,-6.6,1,0,68,Technology,Semiconductors
AAPL,Apple Inc,0.95,0.47,26,31,71,Technology,Computer Manufacturing
AVGO,Broadcom Inc,-4.37,-10.46,0,0,65,Technology,Semiconductors
META,Meta Platforms Inc,4.77,-3.29,28,15,19,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,-7.3,20.5,70,72,97,Technology,Semiconductors
ASMLF,ASML Holding N.V.,-0.65,23.82,85,78,92,Technology,Semiconductor Equipment & Materials
XOM,Exxon Mobil Corporation,0.67,-11.61,7,12,54,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,-4.49,0.35,39,36,9,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,2.18,-0.88,77,68,23,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,-5.03,32.88,84,87,96,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,5.25,0.54,15,9,15,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,-0.16,-7.32,4,11,51,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",-3.0,37.57,92,96,96,Technology,Semiconductors
KO,The Coca-Cola Company,-0.78,-0.49,45,42,55,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,0.24,0.06,51,50,55,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,-1.14,-1.94,17,9,45,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,-1.34,-0.47,73,62,57,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,0.14,-13.7,0,0,13,Consumer Cyclical,Internet Retail
CYATY,CYATY,0.44,5.47,48,53,59,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,-0.18,1.48,70,64,57,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,-2.78,-8.7,15,20,43,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,-4.39,20.07,37,36,46,Communication Services,Telecom Services
NVS,Novartis AG,-0.42,1.19,62,65,57,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,-5.07,20.99,40,39,93,Communication Services,Telecom Services
NVSEF,Novartis AG,1.51,3.1,55,53,52,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,-0.57,5.13,72,62,66,Financial Services,Banks - Diversified
KLAC,KLA Corporation,-7.44,35.12,75,74,94,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,-1.83,-10.19,0,1,19,Consumer Cyclical,Auto Manufacturers
LRLCF,L'Oréal S.A.,-4.64,3.6,39,33,42,Consumer Defensive,Household & Personal Products
SMAWF,Siemens Aktiengesellschaft,-0.57,4.88,66,53,67,Industrials,Specialty Industrial Machinery
PANW,"Palo Alto Networks, Inc.",1.76,17.18,72,65,87,Technology,Computer peripheral equipment
BHP,BHP Group Limited,0.41,10.1,100,100,88,Energy,Coal Mining
AXP,American Express Company,1.6,9.13,100,100,48,Finance,Finance: Consumer Services
SAP,SAP SE,0.66,-5.27,7,13,7,Technology,Computer Software: Prepackaged Software
APP,AppLovin Corporation,4.85,3.96,27,20,43,Technology,Computer Software: Programming Data Processing
ADI,"Analog Devices, Inc.",-2.71,-0.34,60,64,87,Technology,Semiconductors
HESAF,Hermès International Société en commandite par actions,1.54,8.42,98,80,13,Consumer Cyclical,Luxury Goods
CMWAY,Commonwealth Bank of Australia,1.5,-1.31,35,40,33,Financial Services,Banks - Diversified
PEP,"PepsiCo, Inc.",-0.09,-0.94,56,50,36,Consumer Staples,Beverages (Production/Distribution)
IDEXF,"Industria de Diseño Textil, S.A.",-0.89,13.53,82,72,59,Consumer Cyclical,Apparel Retail
ABLZF,ABB Ltd,0.68,3.58,47,42,84,Industrials,Electrical Equipment & Parts
RIO,Rio Tinto Group,-0.14,2.33,42,45,85,Basic Materials,Metal Mining
TMO,Thermo Fisher Scientific Inc.,-0.23,7.04,46,41,33,Industrials,Industrial Machinery/Components
AMGN,Amgen Inc.,-0.77,7.23,66,66,53,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RTPPF,Rio Tinto Group,0.0,-2.15,8,18,83,Basic Materials,Other Industrial Metals & Mining
DIS,The Walt Disney Company,-0.4,-2.53,41,42,25,Consumer Discretionary,Services-Misc. Amusement & Recreation
TJX,"The TJX Companies, Inc.",-0.6,10.7,68,62,59,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ALIZY,Allianz SE,1.21,3.4,100,100,60,Financial Services,Insurance - Diversified
EADSY,Airbus SE,0.92,8.31,100,100,45,Industrials,Aerospace & Defense
SMEGF,Siemens Energy AG,-0.49,-11.14,21,10,79,Industrials,Specialty Industrial Machinery
DTEGY,Deutsche Telekom AG,-0.9,-4.02,0,9,24,Communication Services,Telecom Services
FRCOF,"Fast Retailing Co., Ltd.",4.78,14.92,86,89,83,Consumer Cyclical,Apparel Retail
GLW,Corning Incorporated,-5.57,-0.48,13,16,94,Industrials,Telecommunications Equipment
SHOP,Shopify Inc.,3.93,12.18,44,32,15,Technology,Computer Software: Prepackaged Software
IBDSF,"Iberdrola, S.A.",-0.08,5.47,89,78,60,Utilities,Utilities - Diversified
RYCEY,Rolls-Royce Holdings plc,2.2,19.9,100,100,71,Industrials,Aerospace & Defense
TOELY,Tokyo Electron Limited,-4.18,40.17,89,93,95,Technology,Semiconductor Equipment & Materials
SAFRY,Safran SA,2.65,18.95,100,100,57,Industrials,Aerospace & Defense
HTHIY,"Hitachi, Ltd.",0.81,-1.46,12,19,34,Industrials,Conglomerates
WELL,Welltower Inc.,0.32,0.42,69,63,62,Real Estate,Real Estate Investment Trusts
UBER,"Uber Technologies, Inc.",5.81,-2.98,42,23,18,Consumer Discretionary,Business Services
CIHHF,"China Merchants Bank Co., Ltd.",-12.81,-8.13,14,20,30,Financial Services,Banks - Regional
DBSDY,DBS Group Holdings Ltd,0.12,4.22,66,55,70,Financial Services,Banks - Regional
COP,ConocoPhillips,-0.82,-10.6,0,6,48,Energy,Integrated oil Companies
PLDGP,"Prologis, Inc.",2.02,2.98,92,70,40,Real Estate,REIT - Industrial
BBVXF,"Banco Bilbao Vizcaya Argentaria, S.A.",3.48,11.93,100,90,77,Financial Services,Banks - Diversified
BTAFF,British American Tobacco p.l.c.,-4.61,-6.19,29,32,50,Consumer Defensive,Tobacco
BKNG,Booking Holdings Inc.,0.62,13.6,100,100,19,Consumer Discretionary,Transportation Services
NOW,"ServiceNow, Inc.",1.96,9.55,11,7,5,Technology,Computer Software: Prepackaged Software
CFRUY,Compagnie Financière Richemont SA,1.5,16.09,100,100,70,Consumer Cyclical,Luxury Goods
IFNNF,Infineon Technologies AG,-0.14,22.37,66,67,95,Technology,Semiconductors
IFNNY,Infineon Technologies AG,-3.93,17.16,55,55,94,Technology,Semiconductors
KYCCF,Keyence Corporation,1.05,-2.61,27,26,72,Technology,Scientific & Technical Instruments
VRT,Vertiv Holdings Co,3.01,-15.89,36,19,92,Technology,Industrial Machinery/Components
PDD,PDD Holdings Inc.,2.44,-12.81,3,0,8,Technology,EDP Services
ENNPF,Enbridge Inc.,0.0,-0.82,26,30,49,Energy,Oil & Gas Midstream
ZIJMF,Zijin Mining Group Company Limited,1.45,-7.68,65,62,49,Basic Materials,Gold
ENB,Enbridge Inc.,-0.46,-1.22,34,31,57,Energy,Natural Gas Distribution
ADTTF,Advantest Corporation,0.0,-7.86,4,11,87,Technology,Semiconductor Equipment & Materials
NEM,Newmont Corporation,2.5,-1.05,81,79,73,Basic Materials,Precious Metals
BMY,Bristol-Myers Squibb Company,-0.57,-2.43,33,35,48,Health Care,Biotechnology: Pharmaceutical Preparations
CVS,CVS Health Corporation,0.04,4.93,84,84,81,Consumer Staples,Retail-Drug Stores and Proprietary Stores
