ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,0.82,-2.55,42,36,65,Technology,Semiconductors
AAPL,Apple Inc,0.32,7.22,100,100,78,Technology,Computer Manufacturing
AVGO,Broadcom Inc,0.07,-10.66,6,1,29,Technology,Semiconductors
META,Meta Platforms Inc,0.46,23.85,100,100,51,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,1.65,5.8,96,100,97,Technology,Semiconductors
ASMLF,ASML Holding N.V.,0.01,-11.13,5,3,78,Technology,Semiconductor Equipment & Materials
XOM,ExxonMobil Holdings Corporation,-3.54,-1.35,66,63,80,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,-1.18,-0.96,33,29,11,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,-0.96,-1.14,21,23,55,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,-0.61,-17.9,0,0,85,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,1.03,1.63,51,52,66,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,-2.86,3.72,75,72,81,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",-1.37,-19.15,0,0,87,Technology,Semiconductors
KO,The Coca-Cola Company,-0.95,-0.48,47,40,74,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,0.36,-0.68,56,53,68,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,-1.33,-2.67,2,3,56,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,0.05,4.56,59,52,65,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,-1.55,-14.69,12,9,13,Consumer Cyclical,Internet Retail
CYATY,"Contemporary Amperex Technology Co., Limited",-3.48,-22.55,0,0,8,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,-0.57,6.89,70,67,74,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,0.0,2.61,60,59,74,Financial Services,Banks - Diversified
