ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,0.84,2.86,100,100,74,Technology,Semiconductors
AAPL,Apple Inc,-2.51,2.21,68,66,63,Technology,Computer Manufacturing
AVGO,Broadcom Inc,0.21,-16.33,3,0,34,Technology,Semiconductors
META,Meta Platforms Inc,1.0,4.17,100,100,25,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,4.69,-1.2,41,42,97,Technology,Semiconductors
ASMLF,ASML Holding N.V.,4.0,0.29,34,35,90,Technology,Semiconductor Equipment & Materials
XOM,ExxonMobil Holdings Corporation,-1.69,4.88,29,35,71,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,-0.59,-11.18,6,12,10,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,-1.11,2.89,45,45,52,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,5.12,-1.19,33,33,95,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,-4.49,1.35,23,26,63,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,-1.29,12.79,77,73,74,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",4.31,-15.57,18,17,93,Technology,Semiconductors
KO,The Coca-Cola Company,-0.83,1.17,26,30,68,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,-0.45,-4.0,25,24,58,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,0.0,-0.22,4,10,49,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,1.76,11.73,89,85,67,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,2.58,-11.02,33,31,13,Consumer Cyclical,Internet Retail
CYATY,"Contemporary Amperex Technology Co., Limited",0.38,-9.42,5,1,14,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,1.59,10.99,100,94,74,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,0.0,-0.87,19,18,63,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,7.16,-2.88,52,52,5,Communication Services,Telecom Services
NVS,Novartis AG,-1.9,2.34,74,71,60,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,7.79,0.68,83,91,63,Communication Services,Telecom Services
NVSEF,Novartis AG,0.0,8.12,96,90,64,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,1.31,15.65,100,96,82,Financial Services,Banks - Diversified
KLAC,KLA Corporation,7.32,-6.21,38,37,87,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,-1.35,3.42,72,71,35,Consumer Cyclical,Auto Manufacturers
LRLCF,L'Oréal S.A.,-3.27,-1.72,18,23,32,Consumer Defensive,Household & Personal Products
SMAWF,Siemens Aktiengesellschaft,-0.38,-2.33,0,0,56,Industrials,Specialty Industrial Machinery
PANW,"Palo Alto Networks, Inc.",0.4,-8.41,4,1,93,Technology,Computer peripheral equipment
BHP,BHP Group Limited,-0.34,2.19,48,49,85,Energy,Coal Mining
AXP,American Express Company,-1.11,-4.33,0,0,35,Finance,Finance: Consumer Services
SAP,SAP SE,-0.88,4.34,63,62,36,Technology,Computer Software: Prepackaged Software
APP,AppLovin Corporation,2.23,-7.57,53,52,2,Technology,Computer Software: Programming Data Processing
ADI,"Analog Devices, Inc.",1.61,-6.82,22,19,62,Technology,Semiconductors
HESAF,Hermès International Société en commandite par actions,-1.55,-10.63,0,0,8,Consumer Cyclical,Luxury Goods
CMWAY,Commonwealth Bank of Australia,-0.47,-6.57,52,53,48,Financial Services,Banks - Diversified
PEP,"PepsiCo, Inc.",-0.66,0.06,22,26,23,Consumer Staples,Beverages (Production/Distribution)
IDEXF,"Industria de Diseño Textil, S.A.",-0.01,-2.83,50,51,61,Consumer Cyclical,Apparel Retail
ABLZF,ABB Ltd,0.0,-8.99,5,0,60,Industrials,Electrical Equipment & Parts
RIO,Rio Tinto Group,0.42,4.39,67,66,80,Basic Materials,Metal Mining
TMO,Thermo Fisher Scientific Inc.,-0.75,3.33,56,58,73,Industrials,Industrial Machinery/Components
AMGN,Amgen Inc.,-1.55,7.02,72,68,82,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RTPPF,Rio Tinto Group,0.0,6.63,63,62,77,Basic Materials,Other Industrial Metals & Mining
DIS,The Walt Disney Company,-1.73,0.38,28,32,34,Consumer Discretionary,Services-Misc. Amusement & Recreation
TJX,"The TJX Companies, Inc.",-0.08,-17.89,2,0,12,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ALIZY,Allianz SE,-1.06,4.23,76,73,78,Financial Services,Insurance - Diversified
EADSY,Airbus SE,1.01,-6.12,18,17,52,Industrials,Aerospace & Defense
SMEGF,Siemens Energy AG,0.42,-4.13,26,26,62,Industrials,Specialty Industrial Machinery
DTEGY,Deutsche Telekom AG,-1.88,-1.85,29,29,28,Communication Services,Telecom Services
FRCOF,"Fast Retailing Co., Ltd.",6.52,-7.25,47,48,68,Consumer Cyclical,Apparel Retail
GLW,Corning Incorporated,5.68,-6.69,34,34,88,Industrials,Telecommunications Equipment
SHOP,Shopify Inc.,-0.54,-4.28,24,22,59,Technology,Computer Software: Prepackaged Software
IBDSF,"Iberdrola, S.A.",0.13,-3.33,17,31,48,Utilities,Utilities - Diversified
RYCEY,Rolls-Royce Holdings plc,0.25,-2.04,23,15,79,Industrials,Aerospace & Defense
TOELY,Tokyo Electron Limited,2.57,0.73,43,45,92,Technology,Semiconductor Equipment & Materials
SAFRY,Safran SA,0.42,-6.11,12,5,58,Industrials,Aerospace & Defense
HTHIY,"Hitachi, Ltd.",0.49,-3.8,58,60,62,Industrials,Conglomerates
WELL,Welltower Inc.,-2.05,0.06,62,57,71,Real Estate,Real Estate Investment Trusts
UBER,"Uber Technologies, Inc.",-0.26,0.99,17,26,24,Consumer Discretionary,Business Services
CIHHF,"China Merchants Bank Co., Ltd.",5.59,11.48,100,100,60,Financial Services,Banks - Regional
DBSDY,DBS Group Holdings Ltd,0.48,4.91,100,100,90,Financial Services,Banks - Regional
COP,ConocoPhillips,-1.08,14.92,76,73,79,Energy,Integrated oil Companies
PLDGP,"Prologis, Inc.",0.1,-0.7,24,35,29,Real Estate,REIT - Industrial
BBVXF,"Banco Bilbao Vizcaya Argentaria, S.A.",-0.9,2.48,91,84,88,Financial Services,Banks - Diversified
BTAFF,British American Tobacco p.l.c.,-2.12,-11.46,0,0,23,Consumer Defensive,Tobacco
BKNG,Booking Holdings Inc.,-0.94,-9.85,0,0,41,Consumer Discretionary,Transportation Services
