ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,-0.69,12.26,50,30,77,Technology,Semiconductors
AAPL,Apple Inc,2.9,13.97,100,60,74,Technology,Computer Manufacturing
AVGO,Broadcom Inc,4.7,15.62,100,100,87,Technology,Semiconductors
META,Meta Platforms Inc,-0.47,-2.09,0,0,21,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,2.24,52.7,100,97,97,Technology,Semiconductors
ASMLF,ASML Holding N.V.,2.39,22.41,100,90,90,Technology,Semiconductor Equipment & Materials
XOM,Exxon Mobil Corporation,0.12,-2.03,17,11,69,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,8.09,-1.01,49,37,18,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,-3.55,-5.36,0,0,17,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,5.45,29.33,100,100,95,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,-5.28,4.2,69,64,39,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,0.93,-1.57,21,12,64,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",6.96,25.37,100,100,94,Technology,Semiconductors
KO,The Coca-Cola Company,-0.29,0.28,0,0,49,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,-2.29,-2.41,0,0,47,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,0.88,2.74,17,4,47,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,1.69,-1.64,26,15,59,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,10.53,-1.31,35,31,37,Consumer Cyclical,Internet Retail
CYATY,CYATY,3.17,20.58,100,100,71,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,2.17,-1.73,22,13,57,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,-2.68,-9.17,15,9,51,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,-5.1,54.82,86,84,74,Communication Services,Telecom Services
NVS,Novartis AG,-1.51,-0.79,0,0,49,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,-4.53,51.94,88,86,95,Communication Services,Telecom Services
NVSEF,Novartis AG,-0.25,0.1,0,0,43,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,1.51,4.08,41,18,63,Financial Services,Banks - Diversified
KLAC,KLA Corporation,5.42,19.52,100,95,92,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,-3.04,-2.27,0,0,20,Consumer Cyclical,Auto Manufacturers
LRLCF,L'Oréal S.A.,-4.55,4.64,27,2,33,Consumer Defensive,Household & Personal Products
SMAWF,Siemens Aktiengesellschaft,-1.83,8.44,36,8,66,Industrials,Specialty Industrial Machinery
PANW,"Palo Alto Networks, Inc.",-1.1,61.02,97,96,89,Technology,Computer peripheral equipment
BHP,BHP Group Limited,2.12,19.62,100,79,86,Energy,Coal Mining
AXP,American Express Company,-0.82,-2.58,0,0,32,Finance,Finance: Consumer Services
SAP,SAP SE,-2.7,13.25,83,79,13,Technology,Computer Software: Prepackaged Software
APP,AppLovin Corporation,-1.31,27.5,93,90,75,Technology,Computer Software: Programming Data Processing
ADI,"Analog Devices, Inc.",5.38,6.89,63,46,86,Technology,Semiconductors
HESAF,Hermès International Société en commandite par actions,0.24,0.26,1,0,8,Consumer Cyclical,Luxury Goods
CMWAY,Commonwealth Bank of Australia,1.28,-4.31,20,9,45,Financial Services,Banks - Diversified
PEP,"PepsiCo, Inc.",0.34,-8.14,1,0,30,Consumer Staples,Beverages (Production/Distribution)
IDEXF,"Industria de Diseño Textil, S.A.",0.0,4.45,26,10,50,Consumer Cyclical,Apparel Retail
ABLZF,ABB Ltd,1.35,7.96,46,20,84,Industrials,Electrical Equipment & Parts
RIO,Rio Tinto Group,2.49,13.22,71,45,86,Basic Materials,Metal Mining
TMO,Thermo Fisher Scientific Inc.,-2.42,4.21,71,46,32,Industrials,Industrial Machinery/Components
AMGN,Amgen Inc.,-0.26,2.13,0,0,37,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RTPPF,Rio Tinto Group,4.31,11.92,57,35,85,Basic Materials,Other Industrial Metals & Mining
DIS,The Walt Disney Company,-1.4,0.1,0,0,26,Consumer Discretionary,Services-Misc. Amusement & Recreation
TJX,"The TJX Companies, Inc.",0.62,-0.29,30,6,47,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ALIZY,Allianz SE,0.05,3.83,0,0,52,Financial Services,Insurance - Diversified
EADSY,Airbus SE,-0.62,-2.76,5,0,34,Industrials,Aerospace & Defense
SMEGF,Siemens Energy AG,-2.01,-12.38,0,0,80,Industrials,Specialty Industrial Machinery
DTEGY,Deutsche Telekom AG,-0.06,6.31,33,4,27,Communication Services,Telecom Services
FRCOF,"Fast Retailing Co., Ltd.",-2.28,11.0,86,82,80,Consumer Cyclical,Apparel Retail
GLW,Corning Incorporated,13.41,25.47,71,59,95,Industrials,Telecommunications Equipment
SHOP,Shopify Inc.,-5.73,-8.26,73,69,23,Technology,Computer Software: Prepackaged Software
IBDSF,"Iberdrola, S.A.",0.75,-1.1,9,3,56,Utilities,Utilities - Diversified
RYCEY,Rolls-Royce Holdings plc,0.64,6.44,64,43,64,Industrials,Aerospace & Defense
TOELY,Tokyo Electron Limited,1.12,10.21,77,62,91,Technology,Semiconductor Equipment & Materials
SAFRY,Safran SA,-0.29,12.25,63,38,39,Industrials,Aerospace & Defense
HTHIY,"Hitachi, Ltd.",0.19,6.13,66,40,53,Industrials,Conglomerates
WELL,Welltower Inc.,-1.02,-9.73,0,0,46,Real Estate,Real Estate Investment Trusts
UBER,"Uber Technologies, Inc.",-2.91,-3.12,8,3,16,Consumer Discretionary,Business Services
CIHHF,"China Merchants Bank Co., Ltd.",0.0,-3.74,0,0,31,Financial Services,Banks - Regional
DBSDY,DBS Group Holdings Ltd,2.91,12.14,100,91,74,Financial Services,Banks - Regional
COP,ConocoPhillips,1.12,-5.74,16,9,65,Energy,Integrated oil Companies
PLDGP,"Prologis, Inc.",0.32,1.23,4,0,40,Real Estate,REIT - Industrial
BBVXF,"Banco Bilbao Vizcaya Argentaria, S.A.",1.84,6.35,77,61,73,Financial Services,Banks - Diversified
BTAFF,British American Tobacco p.l.c.,0.0,-2.03,10,0,55,Consumer Defensive,Tobacco
BKNG,Booking Holdings Inc.,-1.21,0.98,49,30,18,Consumer Discretionary,Transportation Services
NOW,"ServiceNow, Inc.",-6.04,38.8,82,81,18,Technology,Computer Software: Prepackaged Software
CFRUY,Compagnie Financière Richemont SA,0.24,14.76,81,59,58,Consumer Cyclical,Luxury Goods
IFNNF,Infineon Technologies AG,7.8,55.84,100,100,94,Technology,Semiconductors
IFNNY,Infineon Technologies AG,9.07,53.45,100,100,95,Technology,Semiconductors
KYCCF,Keyence Corporation,-2.46,1.49,16,8,75,Technology,Scientific & Technical Instruments
VRT,Vertiv Holdings Co,3.43,1.06,28,22,93,Technology,Industrial Machinery/Components
PDD,PDD Holdings Inc.,1.08,-9.83,21,16,13,Technology,EDP Services
ENNPF,Enbridge Inc.,0.0,1.5,0,0,48,Energy,Oil & Gas Midstream
ZIJMF,Zijin Mining Group Company Limited,7.07,-4.57,29,23,68,Basic Materials,Gold
ENB,Enbridge Inc.,2.53,4.23,39,22,60,Energy,Natural Gas Distribution
ADTTF,Advantest Corporation,0.0,-12.15,0,0,91,Technology,Semiconductor Equipment & Materials
NEM,Newmont Corporation,1.21,1.32,8,5,76,Basic Materials,Precious Metals
BMY,Bristol-Myers Squibb Company,-0.89,-5.09,0,0,47,Health Care,Biotechnology: Pharmaceutical Preparations
CVS,CVS Health Corporation,-1.24,9.13,31,8,68,Consumer Staples,Retail-Drug Stores and Proprietary Stores
ACN,Accenture plc,-5.27,3.39,68,63,8,Consumer Discretionary,Business Services
ENLAY,Enel SpA,0.36,-1.33,3,0,54,Utilities,Utilities - Diversified
PGR,The Progressive Corporation,2.15,-1.21,30,18,17,Finance,Property-Casualty Insurers
AAGIY,AIA Group Limited,0.79,-2.31,6,2,51,Financial Services,Insurance - Life
BP,BP p.l.c.,1.07,-6.48,24,15,72,Energy,Integrated oil Companies
PH,Parker-Hannifin Corporation,1.58,-3.4,11,7,37,Industrials,Metal Fabrications
BPAQF,BP p.l.c.,0.0,-8.14,20,13,70,Energy,Oil & Gas Integrated
ZFSVF,Zurich Insurance Group AG,0.0,4.91,0,0,30,Financial Services,Insurance - Diversified
CEG,Constellation Energy Corporation,2.62,-14.94,9,7,14,Utilities,Electric Utilities: Central
HWM,Howmet Aerospace Inc.,-1.88,4.64,0,0,68,Industrials,Metal Fabrications
BAMGF,Brookfield Corporation,0.42,-0.11,5,0,71,Financial Services,Asset Management
FTNT,"Fortinet, Inc.",1.17,66.81,100,100,90,Technology,Computer peripheral equipment
CME,CME Group Inc.,-2.8,-13.7,0,0,18,Finance,Investment Bankers/Brokers/Service
FDX,FedEx Corporation,-2.8,14.11,71,62,83,Consumer Discretionary,Air Freight/Delivery Services
SHECY,"Shin-Etsu Chemical Co., Ltd.",-4.44,3.9,44,25,81,Basic Materials,Chemicals
