NVDA
GOOGL
GOOG
AAPL
MSFT
AMZN
AVGO
TSM
TSLA
META
MU
LLY
BRK.A
BRK.B
WMT
AMD
JPM/PD
JPM/PM
JPM/PC
JPM/PK
JPM/PL
JPM/PJ
JPM
ORCL
ORCL/PD
ASMLF
ASML
V
XOM
INTC
JNJ
TCTZF
TCEHY
CSCO
MA
COST
CAT
LRCX
ABBV
ARM
PLTR
BAC/PM
BAC/PK
BAC/PO
BAC/PN
BAC/PL
BAC/PE
BAC/PS
BACRP
BML/PL
BML/PJ
BAC/PP
BML/PH
BAC/PB
BAC/PQ
BML/PG
BAC
CVX
NFLX
IDCBY
AMAT
IDCBF
UNH
KO
GE
RHHVF
RHHBY
PG
MS/PO
MS/PP
MS/PE
MS
MS/PA
MS/PF
MS/PQ
MS/PL
MS/PI
MS/PK
RHHBF
ACGBF
HSBC
ACGBY
HD
HBCYF
BABAF
GS/PD
GS
GS/PA
GS/PC
CTATF
CYATY
BABA
MRK
CICHY
AZN
PCCYF
CICHF
IBM
TXN
SFTBF
PM
DELL
NVS
LVMHF
LVMUY
SFTBY
RY
QCOM
NVSEF
NSRGY
GEV
BACHY
NSRGF
BACHF
KLAC
SNDK
TM
TOYOF
RTX
SIEGY
LRLCF
LRLCY
WFC
WFC/PY
WFC/PC
WFC/PL
WFC/PA
WFC/PD
WFC/PZ
SMAWF
SHEL
LIN
PANW
KXHCF
RYDAF
BHP
KXIAY
BHPLF
AXP
C/PR
C
SAPGF
SAP
MUFG
MBFJF
APP
TMUS
NVO
ADI
ANET
VZ
HESAF
MCD
NONOF
CMWAY
HESAY
STX
PEP
TTE
IDEXY
IDEXF
ABBNY
TD
ABLZF
BCDRF
CRWD
RIO
SAN
WDC
TMO
APH
BA
BA/PA
AMGN
NEE/PV
NEE
NEE/PT
NEE/PS
MRVL
RTPPF
RTNTF
SBGSY
DIS
SBGSF
T
T/PA
T/PC
TJX
BLK
ALIZF
ALIZY
GILD
EADSF
EADSY
FRCOY
SMERY
SMEGF
BUDFF
DTEGF
DTEGY
SCCO
BUD
FRCOF
CRM
UNP
GLW
ETN
TOELF
SHOP
SCHW
SCHW/PJ
SCHW/PD
IBDRY
IBDSF
HON
RYCEF
RYCEY
RLLCF
ISRG
TOELY
PFE
ABT
SAFRY
IBKR
SAFRF
HTHIY
DE
HTHIF
WELL
CSUAY
CIHKY
UBER
BX
UBS
CIHHF
PNGAY
PIAIF
DBSDY
SMFNF
SMFG
COP
DBSDF
PLD
PLDGP
CILJF
BTI
BBVXF
BBVA
SNEJF
BTAFF
UNCFF
UNCRY
BKNG
DHR
HNHPF
NOW
SONY
CFRHF
CFRUY
IVSBF
SPGI
IFNNF
BNPQF
UNLYF
IFNNY
UL
LMT
KYCCF
AIQUF
IVSXF
VRT
CB
LOW
PDD
AIQUY
EBBNF
ENNPF
EBBGF
EBGEF
ZIJMF
BNPQY
HDB
ENB
ESOCF
IITSF
ADTTF
ISNPY
ZIJMY
NEM
SYK
COF/PK
COF/PN
COF/PI
COF/PL
COF/PJ
COF
BMY
MRAAF
MO
CVS
BYDDF
BYDDY
ACN
ATEYY
BMO
ENLAY
VRTX
SBUX
PBR.A
PBR
MRAAY
PGR
MTSUY
MFG
AAGIY
AAIGF
MSBHF
BP
MZHOF
PWR
PH
ZURVY
SNY
BPAQF
EQIX
ADBE
ZFSVF
SNYNF
GLAXF
CEG
SO
CDNS
HWM
SPOT
BN
BAMGF
BROXF
GSK
FTNT
CM
TT
CME
MAR
BNS
FDX
FDX/I
GPMXY
GMBXF
SHECY
BNY/PK
BNY
DUK
DUK/PA
AXAHY
AXAHF
STOHF
MDT
BRCFF
CNQ
CHDRF
ITOCY
FCX
ESLOY
CAIXY
CHDRY
ITOCF
IBN
GD
MITSY
ESLOF
SHECF
SBKFF
XIACF
RCRRF
INGVF
XIACY
EQNR
AEM
SNPS
CIXPF
UPS
INTU
PROSY
PROSF
GLCNF
RCRUY
ATLPF
MITSF
ATLKY
ATLCY
GLNCY
MCK
CMI
MIELF
WEBNF
MGCLY
CMCSA
PNC
ADP
SNOW
MGCOF
ING
WBKCY
DDOG
BCMXY
WMB
TKOMF
AMT
ITUB
BKFCF
SNPMF
ATLFF
MIELY
MNST
KKR/PD
KKR
MELI
NET
ELV
ASX
USB/PS
USB/PR
USB/PH
USB/PQ
USB/PP
USB/PA
USB
HOOD
TKOMY
WM
CSX
HCA
BCLYF
ICE
BCS
AMXOF
RKLB
NOKBF
OVCHY
NGGTF
CIEN
NABZY
JCI
SLB
CHGCY
VCISY
NOK
NXPI
BE
NPPXF
LLDTF
EMR
VCISF
RACE
ABNB
MHVIY
BAESF
CVNA
NOC
NTTYY
NGG
MHVYF
MMM
LYG
BAESY
EPD
CHGCF
CP
MCO
MDLZ
ENGIY
AMX
BAM
NTES
MRSH
MPWR
E
ENGQF
RCL
EIPAF
ANZGY
ANZGF
GM
SHW
ROST
HLT
APO
APO/PA
SU
CI
VLO
CRH
MPC
CL
VOLVF
ECL
ORLY
CNI
BSX
B
VLVLY
ITW
EOG
OVCHF
COHR
PSX
TDG
RNMBY
F
DASH
RNMBF
TRP
TRPRF
TNCAF
KMI
TRPPF
ARZGY
AEP
JPPTY
JAPAY
CTAS
NSC
NKE
VALE
JAPAF
MURGF
WBD
AON
MKGAF
MSI
MURGY
DLR/PK
DLR/PJ
DLR/PL
DLR
DHLGY
SFBQF
LITE
SPG/PJ
SPG
MKKGY
ET
ET/PI
DPSTF
NBNKF
NRDBY
WFAFY
BHKLY
RBSPF
HKXCY
REGN
SOBKY
FIX
NWG
HKXCF
MFC
NU
BKR
MQBKY
URI
CMCLF
TEL
PSTVY
TRV
APD
NNFSF
KDDIY
RSG
SMTOY
KDDIF
STMEF
STM
DB
WPM
SMTOF
SNGNF
TFC/PR
TFC/PI
TFC/PO
TFC
WFAFF
MPNGF
CRWV
MCQEF
LSEGY
D
DSDVY
ALAB
LHX
LDNXF
SCBFY
TER
MBGYY
LTOUF
CRARY
SCBFF
MBGAF
GWW
SRE
NBIS
RELX
PCAR
KEYS
MPNGY
NGLOY
UMC
TGT
CRARF
IMO
THLLY
DSDVF
AFL
O
HPE
HPE/PC
AAUKF
RLXXF
NUE
HOCPY
THLEF
NTIOF
OXY
SSUMF
SGAPY
STRD
STRF
MSTR
STRC
STRK
UCBJY
CIIHY
ANFGF
ORANY
HOCPF
MPLX
KBCSY
SE
CMPGF
EONGY
FLEX
FNCTF
TRGP
KBCSF
CMPGY
MARUY
ENAKF
FKURF
PCRFF
VLKPF
VWAGY
VWAPY
PCRHY
DAL
VST
FANG
SCGLY
PSA/PH
PSA/PG
PSA/PI
PSA/PK
PSA
PSA/PL
PSA/PP
PSA/PF
PSA/PS
PSA/PN
PSA/PQ
PSA/PJ
PSA/PO
PSA/PR
PSA/PM
UCBJF
MET/PE
MET/PF
MET/PA
MET
SSUMY
HCMLY
ALL/PH
ALL/PI
ALL/PJ
ALL/PB
ALL
CARR
WMMVF
OKE
BASFY
WMMVY
GWLIF
FJIKY
COR
CTVA
MARUF
NDAQ
BAMXF
VLKAF
LBLCF
CBRS
LOBLY
ANCTF
CVE
DBOEY
AME
SDVKF
NTDOY
BMWKY
ARGNF
AJG
HCMLF
ARGX
ASMXF
DBOEF
BFFAF
MT
MCHPP
MCHP
DVN
PRYMF
NTDOF
TAK
ASMIY
SDVKY
ABEV
FAST
EA
GDERF
PRYMY
TTDKF
RNECY
ROK
CTPCF
SCGLF
FSUMF
ETR
GALDY
COIN
EW
RNECF
XEL
DRPRY
DRPRF
FSUGY
CCJ
INFY
JHPCY
TTDKY
AU
CTPCY
FER
ADSK
SUHJY
CRZBY
WUXIF
UOVEY
AMSYF
EBAY
CRZBF
UOVEF
AZO
TKPHF
MDLN
EBKOF
EBKDY
RWNFF
RWEOY
ON
LNG
WEICF
ODFL
LGRVF
EXC
BAIDF
FANUF
TYHOF
TYHOY
CAH
MSCI
DANOY
DGEAF
DEO
DNBBY
BIDU
DNBBF
FANUY
GPDNF
HINKF
SMMNY
ERIXF
ORLNY
FITB
FITBO
FITBP
FITBM
FITBI
GRMN
XYZ
LGRDY
SEMHF
SWZCF
CODYY
WUXAY
CHPXF
GFS
FNV
IDXX
LZAGF
DSCSY
WAB
CLS
DKILF
SCMWY
CODGF
ANNSF
PINXF
ASTS
FERG
CRDO
ANYYY
LZAGY
CNSWF
CNSWY
DISPF
GMGSF
STT
STT/PG
ERIC
ELEZY
HEINY
DKILY
SSREF
VTR
BAYRY
TTRAF
WOPEF
UNVGY
DHI
WDS
DNKEY
PINXY
TTWO
TLGPY
HHUSF
PPCCY
ASAZF
ESLT
SWDBY
HEI.A
HEI
HOCFF
VIK
RKT
BAYZF
CMG
KDP
SWDBF
IX
SSREY
YUM
UMGNF
IBIDF
TEVA
BDX
IBIDY
RBGPF
HLNCF
ALNY
CCEP
HLN
AMP
CCI
TYIDY
NPSNY
SSEZF
SLF
ASAZY
TYIDF
ORXCF
SVKEF
MSADY
PYPL
MAHMF
HSY
AIG
PBCRY
RBGLY
TKO
HDLMY
PEG
LYV
ED
CCL
OTSKY
ACSAY
JBL
ADM
BLMIF
TRI
KR
A
LNVGF
DCNSF
ACSAF
IRM
HLBZF
LNVGY
EQBBF
PWCDF
WCN
SSEZY
DLICY
WAT
MSADF
DTRUY
PSZKF
STLD
SATS
TSCDF
KMTUY
UAL
JDCMF
PBCRF
ADRNY
SDZNY
EME
VMC
CHHQF
FJTSY
HUM
CBRE
WEGZY
PPRUY
FINMY
JPPHY
TSCDY
SDZXF
PPRUF
AHODF
SYY
WEC
AXON
AMKBF
FINMF
NIPNF
WDAY
KMTUF
PUK
KGC
PCG/PX
PCG
FRFHF
AMKBY
VODPF
NHOLF
KB
HMC
PSZKY
FJTSF
ADDDF
DTGHF
UI
BKHPF
SHNDY
SHLAF
TEVJF
JD
CHHQY
AMKAF
GFI
NECPY
DLMAF
MLM
PRU
CBOE
GFIOF
DLMAY
HIG/PG
HIG
HNDAF
IFCZF
PAYX
ADYYF
ADDYY
BBD
BBDO
ADYEY
SMPNY
VOD
CKHUY
NTAP
SAABF
EQT
DNZOF
SHLRF
EPIAF
GVDNY
QSR
EPOAY
TRAUF
RDDT
ONC
CHT
RBLX
DNNGY
BKHYY
LVS
DOGEF
RVMD
GVDBF
CKHUF
KVUE
HBANP
HBANM
HBANZ
HBANL
HBAN
CSLLY
ALC
SAABY
NTR
DNZOY
FSLR
ROP
FNLPF
CICOF
HVRRF
KYOCF
AAVMY
BMPSY
CMXHF
Q
HVRRY
TS
ZTS
HAL
KMB
TECK
TCKRF
MLYBY
SUNB
EL
AVIFY
BMDPF
RPRX
SBGOF
NTRA
GASNY
FANDF
DSKYF
PUTRY
FANDY
MTB
MTB/PJ
MTB/PH
MTB/PK
CKHGY
DSNKY
CPRT
KBGGY
SXYAY
CICOY
ACGLN
ACGLO
ACGL
SVNDF
SGBLY
TGOPY
TCOM
TLLXY
KNYJY
EXPGY
TGOPF
KYOCY
SZLMY
AJINF
LNTCY
NTRSO
NTRS
HENKY
HENOF
HENOY
RYAAY
EXR
MITEY
IQV
WOLWF
SVNDY
AJNMY
VICI
QIHCF
FISV
EXPGF
AMRZ
STLA
EC
VG
MTZ
AEE
NSKFF
CPNG
ZM
SVNLF
DTE
VEOEY
VEOEF
RSHGY
CNC
SVNLY
TPR
SWSDF
GBOOY
PMRTY
MITEF
DASTY
BTGOF
DASTF
POPMF
FICO
RSNHF
BIIB
TWLO
DUAVF
SHG
TDY
GBOOF
CQP
ALMMF
ARES/PB
ARES
TSEM
KHC
DOV
DXCM
VEEV
GEHC
CASY
NRG
ATO
KHNGF
BPXXY
BRDCF
HNNMY
TEFOF
SKFOF
REPYY
CRCL
FTS
SAXPY
AMADF
