ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,-6.2,-2.91,0,13,70,Technology,Semiconductors
AAPL,Apple Inc,-1.25,7.02,100,100,73,Technology,Computer Manufacturing
AVGO,Broadcom Inc,-7.92,-6.5,0,0,70,Technology,Semiconductors
META,Meta Platforms Inc,-5.51,-3.86,29,57,20,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,-10.86,14.18,44,51,97,Technology,Semiconductors
ASMLF,ASML Holding N.V.,-7.54,8.44,64,77,89,Technology,Semiconductor Equipment & Materials
XOM,Exxon Mobil Corporation,-1.39,2.97,38,45,71,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,-7.69,-6.34,46,56,12,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,1.93,-1.97,68,76,20,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,-9.85,5.85,46,56,95,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,-4.35,-1.11,23,31,19,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,-0.55,3.58,46,54,65,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",-9.71,10.46,55,64,94,Technology,Semiconductors
KO,The Coca-Cola Company,3.46,1.34,62,69,55,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,-0.17,1.76,75,85,55,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,0.0,-2.64,23,37,40,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,-0.7,-2.65,45,54,55,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,-4.08,-5.9,17,23,25,Consumer Cyclical,Internet Retail
CYATY,CYATY,-2.8,7.42,54,72,61,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,0.78,-2.44,59,70,57,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,-5.5,-11.97,14,29,46,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,-7.86,12.05,38,41,49,Communication Services,Telecom Services
NVS,Novartis AG,0.51,2.59,83,87,56,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,-8.34,12.7,41,44,94,Communication Services,Telecom Services
NVSEF,Novartis AG,0.7,2.25,58,80,47,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,0.12,2.77,87,91,65,Financial Services,Banks - Diversified
KLAC,KLA Corporation,-9.47,9.55,55,64,92,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,-6.55,-7.76,0,16,17,Consumer Cyclical,Auto Manufacturers
LRLCF,L'Oréal S.A.,0.08,0.73,64,87,35,Consumer Defensive,Household & Personal Products
SMAWF,Siemens Aktiengesellschaft,-2.66,-0.79,53,65,63,Industrials,Specialty Industrial Machinery
PANW,"Palo Alto Networks, Inc.",-2.58,38.43,76,83,86,Technology,Computer peripheral equipment
BHP,BHP Group Limited,-6.83,0.21,5,6,82,Energy,Coal Mining
AXP,American Express Company,-0.6,-2.52,76,91,34,Finance,Finance: Consumer Services
SAP,SAP SE,-1.27,5.76,81,95,10,Technology,Computer Software: Prepackaged Software
