ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,-4.99,2.07,24,57,43,Technology,Semiconductors
AAPL,Apple Inc,1.17,18.72,100,100,84,Technology,Computer Manufacturing
AVGO,Broadcom Inc,0.34,4.99,70,91,55,Technology,Semiconductors
META,Meta Platforms Inc,-0.22,7.93,33,57,17,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,-5.17,-5.11,2,20,96,Technology,Semiconductors
ASMLF,ASML Holding N.V.,-7.56,-8.4,0,0,90,Technology,Semiconductor Equipment & Materials
XOM,XOM,-1.38,13.35,90,94,73,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,4.33,6.97,35,60,12,Communication Services,Internet Content & Information
MA,MA,2.23,10.74,100,100,44,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,-4.46,-23.08,0,0,94,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,7.0,16.47,85,97,15,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,-2.46,11.07,84,90,64,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",-3.61,-17.54,0,1,95,Technology,Semiconductors
KO,KO,2.21,1.74,100,100,66,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,0.13,5.86,100,100,65,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,-0.68,4.15,91,97,54,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,2.73,12.67,100,100,51,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,8.72,28.68,100,100,15,Consumer Cyclical,Internet Retail
CYATY,CYATY,3.62,-6.62,47,73,34,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,2.41,11.29,100,100,58,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,0.0,6.68,99,100,60,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,-0.52,-17.42,0,8,6,Communication Services,Telecom Services
NVS,Novartis AG,0.71,0.45,77,100,66,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,-0.43,-17.5,0,0,50,Communication Services,Telecom Services
NVSEF,Novartis AG,-2.89,-2.2,44,74,54,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,1.36,9.43,100,100,66,Financial Services,Banks - Diversified
