ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,0.37,-10.57,0,5,52,Technology,Semiconductors
AAPL,Apple Inc,1.31,0.46,96,93,72,Technology,Computer Manufacturing
AVGO,Broadcom Inc,3.73,-10.6,21,23,65,Technology,Semiconductors
META,Meta Platforms Inc,2.98,-4.26,72,83,24,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,6.61,5.51,72,82,97,Technology,Semiconductors
ASMLF,ASML Holding N.V.,3.86,4.79,52,60,91,Technology,Semiconductor Equipment & Materials
XOM,ExxonMobil Holdings Corporation,-0.47,-10.26,0,10,46,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,4.17,-6.07,45,49,12,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,-1.17,10.66,80,81,34,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,-0.34,4.17,32,34,96,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,2.51,-6.46,78,79,14,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,-0.65,-10.75,4,15,38,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",-1.7,18.16,49,52,96,Technology,Semiconductors
KO,The Coca-Cola Company,-1.4,8.69,49,59,61,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,-2.73,0.04,51,61,53,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,-3.7,2.18,24,45,43,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,-0.3,-9.34,0,5,28,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,-5.55,-23.76,0,2,6,Consumer Cyclical,Internet Retail
CYATY,CYATY,-1.25,-8.27,0,0,47,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,-0.3,-5.82,0,13,34,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,0.0,-3.67,0,17,45,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,-4.03,-23.92,0,0,35,Communication Services,Telecom Services
NVS,Novartis AG,-2.76,4.78,56,64,57,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,0.98,-21.16,14,19,88,Communication Services,Telecom Services
NVSEF,Novartis AG,0.0,9.98,92,90,57,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,0.39,-5.53,0,8,43,Financial Services,Banks - Diversified
KLAC,KLA Corporation,-0.95,9.48,34,36,94,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,5.23,-4.44,89,96,21,Consumer Cyclical,Auto Manufacturers
