ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,-2.21,-0.9,57,84,53,Technology,Semiconductors
AAPL,Apple Inc,0.14,12.77,100,100,83,Technology,Computer Manufacturing
AVGO,Broadcom Inc,-0.97,-5.47,23,56,50,Technology,Semiconductors
META,Meta Platforms Inc,-2.79,13.82,79,89,30,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,-1.03,-3.26,0,4,97,Technology,Semiconductors
ASMLF,ASML Holding N.V.,-2.11,-8.53,7,24,91,Technology,Semiconductor Equipment & Materials
XOM,XOM,0.97,4.7,100,100,64,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,-1.4,6.85,92,100,16,Communication Services,Internet Content & Information
MA,MA,-1.44,10.45,96,100,38,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,-2.39,-16.27,0,0,95,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,-1.53,1.34,95,100,15,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,1.91,5.52,100,100,62,Energy,Integrated oil Companies
AMAT,AMAT,-5.57,-10.67,0,0,95,Technology,Semiconductors
KO,KO,-3.96,2.04,49,77,64,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,0.29,1.06,66,97,57,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,2.59,7.67,100,100,55,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,1.63,-2.74,76,100,41,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,-0.77,11.4,94,100,14,Consumer Cyclical,Internet Retail
CYATY,CYATY,-1.88,-14.58,15,28,25,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,1.58,-0.89,71,100,46,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,-3.77,0.0,19,49,42,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,-4.85,-22.44,5,12,18,Communication Services,Telecom Services
NVS,Novartis AG,0.67,1.91,56,87,61,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,-2.36,-20.68,0,7,81,Communication Services,Telecom Services
NVSEF,Novartis AG,0.0,4.76,59,79,59,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,0.25,-0.76,63,100,57,Financial Services,Banks - Diversified
KLAC,KLA Corporation,-3.02,-10.88,0,1,93,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,-0.22,0.39,94,100,21,Consumer Cyclical,Auto Manufacturers
LRLCF,L'Oréal S.A.,1.36,1.47,58,99,46,Consumer Defensive,Household & Personal Products
SMAWF,Siemens Aktiengesellschaft,-1.02,-0.44,52,100,57,Industrials,Specialty Industrial Machinery
PANW,"Palo Alto Networks, Inc.",1.32,27.13,100,100,96,Technology,Computer peripheral equipment
BHP,BHP Group Limited,-0.09,-10.76,27,65,77,Energy,Coal Mining
AXP,American Express Company,-1.72,4.63,88,98,51,Finance,Finance: Consumer Services
SAP,SAP SE,-1.61,0.16,75,97,8,Technology,Computer Software: Prepackaged Software
APP,AppLovin Corporation,-2.29,-11.46,0,0,20,Technology,Computer Software: Programming Data Processing
ADI,ADI,-1.36,-9.43,0,14,81,Technology,Semiconductors
HESAF,Hermès International Société en commandite par actions,-1.04,-4.29,62,100,15,Consumer Cyclical,Luxury Goods
CMWAY,Commonwealth Bank of Australia,0.01,5.78,100,100,47,Financial Services,Banks - Diversified
PEP,"PepsiCo, Inc.",-1.66,-3.16,35,65,27,Consumer Staples,Beverages (Production/Distribution)
IDEXF,"Industria de Diseño Textil, S.A.",-3.44,-5.76,22,48,47,Consumer Cyclical,Apparel Retail
ABLZF,ABB Ltd,-1.31,-10.29,0,2,78,Industrials,Electrical Equipment & Parts
RIO,Rio Tinto Group,-0.57,-12.19,15,51,66,Basic Materials,Metal Mining
TMO,TMO,-1.97,15.33,93,97,45,Industrials,Industrial Machinery/Components
AMGN,Amgen Inc.,-1.42,7.21,81,100,64,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RTPPF,Rio Tinto Group,0.0,-12.52,12,40,64,Basic Materials,Other Industrial Metals & Mining
DIS,DIS,-2.05,-2.42,35,74,21,Consumer Discretionary,Services-Misc. Amusement & Recreation
TJX,"The TJX Companies, Inc.",-0.21,-5.89,31,61,49,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ALIZY,Allianz SE,0.73,5.23,100,100,64,Financial Services,Insurance - Diversified
EADSY,Airbus SE,-0.52,3.72,29,68,42,Industrials,Aerospace & Defense
SMEGF,Siemens Energy AG,-2.23,-13.1,0,0,58,Industrials,Specialty Industrial Machinery
DTEGY,Deutsche Telekom AG,1.25,-0.39,100,100,25,Communication Services,Telecom Services
FRCOF,"Fast Retailing Co., Ltd.",0.34,2.93,56,64,82,Consumer Cyclical,Apparel Retail
GLW,GLW,-2.39,-11.85,0,0,93,Industrials,Telecommunications Equipment
SHOP,Shopify Inc.,-1.2,14.31,96,100,24,Technology,Computer Software: Prepackaged Software
IBDSF,"Iberdrola, S.A.",1.24,3.21,46,99,65,Utilities,Utilities - Diversified
RYCEY,Rolls-Royce Holdings plc,-0.7,-0.43,3,43,64,Industrials,Aerospace & Defense
TOELY,Tokyo Electron Limited,-4.06,-12.15,0,0,94,Technology,Semiconductor Equipment & Materials
SAFRY,Safran SA,0.81,1.4,25,54,52,Industrials,Aerospace & Defense
HTHIY,"Hitachi, Ltd.",-0.68,-1.32,66,95,27,Industrials,Conglomerates
WELL,Welltower Inc.,0.73,17.77,100,100,81,Real Estate,Real Estate Investment Trusts
UBER,"Uber Technologies, Inc.",-2.13,2.19,26,67,18,Consumer Discretionary,Business Services
CIHHF,"China Merchants Bank Co., Ltd.",6.11,12.55,100,100,38,Financial Services,Banks - Regional
DBSDY,DBS Group Holdings Ltd,-0.36,10.86,100,100,84,Financial Services,Banks - Regional
COP,ConocoPhillips,1.66,3.15,100,100,61,Energy,Integrated oil Companies
PLDGP,PLDGP,0.0,-2.23,26,100,38,Real Estate,REIT - Industrial
BBVXF,"Banco Bilbao Vizcaya Argentaria, S.A.",-3.8,2.0,51,78,76,Financial Services,Banks - Diversified
BTAFF,British American Tobacco p.l.c.,0.62,4.51,66,100,62,Consumer Defensive,Tobacco
BKNG,Booking Holdings Inc.,-1.59,5.86,81,99,23,Consumer Discretionary,Transportation Services
NOW,"ServiceNow, Inc.",-0.74,8.13,64,75,12,Technology,Computer Software: Prepackaged Software
CFRUY,Compagnie Financière Richemont SA,-1.11,6.62,98,100,71,Consumer Cyclical,Luxury Goods
IFNNF,Infineon Technologies AG,-2.99,-17.22,0,0,91,Technology,Semiconductors
IFNNY,Infineon Technologies AG,-0.19,-16.54,2,5,91,Technology,Semiconductors
KYCCF,Keyence Corporation,-0.0,-5.52,6,10,66,Technology,Scientific & Technical Instruments
VRT,Vertiv Holdings Co,-1.55,-8.82,0,0,90,Technology,Industrial Machinery/Components
PDD,PDD Holdings Inc.,-2.93,5.36,86,91,10,Technology,EDP Services
ENNPF,Enbridge Inc.,0.0,0.0,16,100,52,Energy,Oil & Gas Midstream
ZIJMF,Zijin Mining Group Company Limited,4.07,-1.79,75,98,27,Basic Materials,Gold
ENB,ENB,0.44,4.11,86,100,69,Energy,Natural Gas Distribution
ADTTF,Advantest Corporation,-0.71,15.88,42,52,87,Technology,Semiconductor Equipment & Materials
NEM,Newmont Corporation,-1.24,-15.11,0,16,34,Basic Materials,Precious Metals
BMY,Bristol-Myers Squibb Company,0.38,11.12,100,100,69,Health Care,Biotechnology: Pharmaceutical Preparations
CVS,CVS Health Corporation,0.91,8.38,100,100,88,Consumer Staples,Retail-Drug Stores and Proprietary Stores
ACN,Accenture plc,-0.72,-6.87,100,100,4,Consumer Discretionary,Business Services
ENLAY,Enel SpA,1.05,2.66,81,100,58,Utilities,Utilities - Diversified
PGR,The Progressive Corporation,1.04,1.77,19,42,32,Finance,Property-Casualty Insurers
AAGIY,AIA Group Limited,0.13,2.73,99,100,35,Financial Services,Insurance - Life
BP,BP p.l.c.,2.0,4.38,100,100,61,Energy,Integrated oil Companies
PH,Parker-Hannifin Corporation,-0.54,0.77,26,88,60,Industrials,Metal Fabrications
BPAQF,BP p.l.c.,-2.05,0.3,91,97,48,Energy,Oil & Gas Integrated
ZFSVF,Zurich Insurance Group AG,4.71,7.36,100,100,51,Financial Services,Insurance - Diversified
CEG,Constellation Energy Corporation,0.25,-5.53,42,70,11,Utilities,Electric Utilities: Central
HWM,Howmet Aerospace Inc.,0.46,-3.81,44,100,77,Industrials,Metal Fabrications
BAMGF,Brookfield Corporation,0.0,0.0,16,100,62,Financial Services,Asset Management
FTNT,"Fortinet, Inc.",0.52,12.12,84,100,95,Technology,Computer peripheral equipment
CME,CME Group Inc.,-0.5,-2.97,98,100,21,Finance,Investment Bankers/Brokers/Service
FDX,FDX,-1.64,-3.61,24,72,83,Consumer Discretionary,Air Freight/Delivery Services
SHECY,"Shin-Etsu Chemical Co., Ltd.",0.82,-5.41,46,79,72,Basic Materials,Chemicals
AXAHY,AXA SA,0.67,5.28,100,100,59,Financial Services,Insurance - Diversified
MDT,MDT,-0.43,7.44,98,100,26,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CHDRF,Christian Dior SE,0.0,-6.86,5,21,20,Consumer Cyclical,Luxury Goods
ESLOY,EssilorLuxottica Société anonyme,-1.52,-4.5,25,69,6,Healthcare,Medical Instruments & Supplies
ITOCF,ITOCHU Corporation,4.24,2.73,100,100,4,Industrials,Conglomerates
MITSY,"Mitsui & Co., Ltd.",-0.75,-1.73,77,100,40,Industrials,Conglomerates
SBKFF,State Bank of India,0.0,-0.24,48,84,39,Financial Services,Banks - Regional
INGVF,ING Groep N.V.,0.0,9.22,100,100,81,Financial Services,Banks - Diversified
AEM,Agnico Eagle Mines Limited,-0.23,-20.82,3,8,11,Basic Materials,Precious Metals
UPS,UPS,0.46,11.98,100,100,73,Industrials,Trucking Freight/Courier Services
PROSF,Prosus N.V.,0.0,-1.0,75,100,12,Consumer Cyclical,Internet Retail
ATLPF,Atlas Copco AB (publ),0.0,-0.47,61,90,76,Industrials,Specialty Industrial Machinery
ATLCY,Atlas Copco AB (publ),-0.39,1.58,100,100,60,Industrials,Specialty Industrial Machinery
CMI,Cummins Inc.,0.1,-9.65,7,15,83,Industrials,Industrial Machinery/Components
MGCLY,MGCLY,-0.72,7.31,99,100,63,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
ADP,"Automatic Data Processing, Inc.",-0.5,16.69,100,100,49,Industrials,Diversified Commercial Services
ING,ING,-1.52,3.49,70,100,75,Finance,Commercial Banks
BCMXY,"Bank of Communications Co., Ltd.",0.0,-9.5,18,42,32,Financial Services,Banks - Diversified
AMT,American Tower Corporation,0.67,-6.09,45,77,25,Real Estate,Real Estate Investment Trusts
SNPMF,China Petroleum & Chemical Corporation,-1.82,-1.82,59,86,36,Energy,Oil & Gas Integrated
MNST,Monster Beverage Corporation,-2.44,6.37,82,93,85,Consumer Staples,Beverages (Production/Distribution)
NET,"Cloudflare, Inc.",1.91,22.39,99,100,86,Technology,Computer Software: Prepackaged Software
USB,U.S. Bancorp,-1.36,9.96,96,100,77,Finance,Major Banks
WM,"Waste Management, Inc.",-1.21,10.87,98,100,52,Utilities,Environmental Services
BCLYF,Barclays PLC,-1.65,8.33,93,99,81,Financial Services,Banks - Diversified
AMXOF,"América Móvil, S.A.B. de C.V.",0.0,18.15,100,100,94,Communication Services,Telecom Services
OVCHY,Oversea-Chinese Banking Corporation Limited,-0.43,15.34,100,100,89,Financial Services,Banks - Regional
NABZY,National Australia Bank Limited,0.72,7.47,100,100,37,Financial Services,Banks - Diversified
CHGCY,"Chugai Pharmaceutical Co., Ltd.",1.39,-4.44,50,78,22,Healthcare,Drug Manufacturers - General
NXPI,NXP Semiconductors N.V.,-1.53,-10.32,0,3,72,Technology,Semiconductors
LLDTF,Lloyds Banking Group plc,0.0,3.7,25,53,60,Financial Services,Banks - Regional
RACE,Ferrari N.V.,-1.5,6.37,73,95,35,Industrials,Auto Manufacturing
BAESF,BAE Systems plc,1.07,2.67,53,79,26,Industrials,Aerospace & Defense
