ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,-1.64,-7.82,0,0,57,Technology,Semiconductors
AAPL,Apple Inc,-6.12,-11.48,0,0,57,Technology,Computer Manufacturing
AVGO,Broadcom Inc,-0.83,-10.04,10,10,68,Technology,Semiconductors
META,Meta Platforms Inc,-2.65,-14.46,0,0,14,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,2.47,7.47,86,96,97,Technology,Semiconductors
ASMLF,ASML Holding N.V.,4.66,14.7,73,80,90,Technology,Semiconductor Equipment & Materials
XOM,Exxon Mobil Corporation,0.47,-7.0,12,18,49,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,-3.34,-4.47,0,1,9,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,-1.11,-1.24,79,67,23,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,7.21,26.08,98,100,96,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,-5.49,-19.05,0,0,5,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,0.46,-5.57,7,15,43,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",13.42,49.02,100,100,96,Technology,Semiconductors
KO,The Coca-Cola Company,-0.22,-0.83,62,54,58,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,1.23,-1.16,100,90,59,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,2.75,-3.86,78,70,55,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,-3.21,-7.44,0,0,38,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,-3.66,-28.5,0,0,6,Consumer Cyclical,Internet Retail
CYATY,CYATY,-1.13,1.57,47,50,59,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,-2.26,-3.47,8,12,44,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,-1.79,2.8,72,65,53,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,6.49,-9.56,15,14,27,Communication Services,Telecom Services
NVS,Novartis AG,1.31,2.65,100,100,63,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,3.98,-8.58,12,9,91,Communication Services,Telecom Services
NVSEF,Novartis AG,1.56,1.3,100,100,61,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,-5.26,-4.17,0,0,49,Financial Services,Banks - Diversified
KLAC,KLA Corporation,7.62,32.23,91,97,95,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,-0.84,-12.63,0,2,15,Consumer Cyclical,Auto Manufacturers
LRLCF,L'Oréal S.A.,6.28,4.57,97,83,52,Consumer Defensive,Household & Personal Products
SMAWF,Siemens Aktiengesellschaft,1.19,-3.73,54,54,64,Industrials,Specialty Industrial Machinery
PANW,"Palo Alto Networks, Inc.",2.74,17.96,100,100,90,Technology,Computer peripheral equipment
BHP,BHP Group Limited,0.55,-7.59,3,0,83,Energy,Coal Mining
AXP,American Express Company,-0.03,9.57,99,95,46,Finance,Finance: Consumer Services
SAP,SAP SE,-3.07,-14.98,1,7,6,Technology,Computer Software: Prepackaged Software
APP,AppLovin Corporation,-4.09,-21.47,0,0,24,Technology,Computer Software: Programming Data Processing
ADI,"Analog Devices, Inc.",1.15,0.53,57,67,87,Technology,Semiconductors
HESAF,Hermès International Société en commandite par actions,0.8,-1.69,30,36,14,Consumer Cyclical,Luxury Goods
CMWAY,Commonwealth Bank of Australia,-0.75,-3.87,60,60,33,Financial Services,Banks - Diversified
PEP,"PepsiCo, Inc.",-1.93,-4.57,34,32,34,Consumer Staples,Beverages (Production/Distribution)
IDEXF,"Industria de Diseño Textil, S.A.",1.23,3.66,68,69,56,Consumer Cyclical,Apparel Retail
ABLZF,ABB Ltd,1.51,0.43,64,73,85,Industrials,Electrical Equipment & Parts
RIO,Rio Tinto Group,1.15,-10.79,7,3,79,Basic Materials,Metal Mining
TMO,Thermo Fisher Scientific Inc.,2.75,10.97,100,100,44,Industrials,Industrial Machinery/Components
AMGN,Amgen Inc.,0.4,4.99,99,93,57,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RTPPF,Rio Tinto Group,0.0,-10.28,0,0,80,Basic Materials,Other Industrial Metals & Mining
DIS,The Walt Disney Company,-3.04,-5.88,21,28,25,Consumer Discretionary,Services-Misc. Amusement & Recreation
TJX,"The TJX Companies, Inc.",-6.04,-1.16,32,30,46,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ALIZY,Allianz SE,0.65,1.79,99,97,61,Financial Services,Insurance - Diversified
EADSY,Airbus SE,-0.11,9.55,98,94,48,Industrials,Aerospace & Defense
SMEGF,Siemens Energy AG,0.33,-10.44,63,66,78,Industrials,Specialty Industrial Machinery
DTEGY,Deutsche Telekom AG,-0.5,-13.28,11,18,18,Communication Services,Telecom Services
FRCOF,"Fast Retailing Co., Ltd.",0.19,11.3,91,95,86,Consumer Cyclical,Apparel Retail
GLW,Corning Incorporated,10.78,19.63,100,100,96,Industrials,Telecommunications Equipment
SHOP,Shopify Inc.,-2.23,4.71,37,45,17,Technology,Computer Software: Prepackaged Software
IBDSF,"Iberdrola, S.A.",0.33,5.66,94,92,63,Utilities,Utilities - Diversified
RYCEY,Rolls-Royce Holdings plc,1.45,9.17,100,100,72,Industrials,Aerospace & Defense
TOELY,Tokyo Electron Limited,6.2,42.9,88,92,95,Technology,Semiconductor Equipment & Materials
SAFRY,Safran SA,1.29,11.81,100,100,63,Industrials,Aerospace & Defense
HTHIY,"Hitachi, Ltd.",-4.16,-10.32,0,0,29,Industrials,Conglomerates
WELL,Welltower Inc.,1.04,4.46,100,100,72,Real Estate,Real Estate Investment Trusts
UBER,"Uber Technologies, Inc.",-2.17,2.15,70,64,19,Consumer Discretionary,Business Services
CIHHF,"China Merchants Bank Co., Ltd.",0.0,-3.72,9,16,26,Financial Services,Banks - Regional
DBSDY,DBS Group Holdings Ltd,-0.09,4.42,88,85,75,Financial Services,Banks - Regional
