ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,-3.55,-5.04,1,52,32,Technology,Semiconductors
AAPL,Apple Inc,-0.56,16.88,100,100,85,Technology,Computer Manufacturing
AVGO,Broadcom Inc,-2.78,-1.97,48,88,48,Technology,Semiconductors
META,Meta Platforms Inc,-1.31,3.96,17,51,14,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,-5.51,-26.05,0,0,95,Technology,Semiconductors
ASMLF,ASML Holding N.V.,-1.85,-22.22,0,2,87,Technology,Semiconductor Equipment & Materials
XOM,ExxonMobil Holdings Corporation,2.42,14.65,100,100,74,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,3.64,3.13,82,100,14,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,0.1,9.86,100,100,48,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,-6.4,-41.76,0,0,91,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,-0.43,5.43,15,61,10,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,2.28,15.75,99,100,65,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",-8.4,-39.63,0,0,93,Technology,Semiconductors
KO,The Coca-Cola Company,0.92,9.61,100,100,76,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,-2.74,7.05,90,96,69,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,-0.14,6.56,100,100,59,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,1.41,18.33,100,100,58,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,0.17,14.4,86,94,11,Consumer Cyclical,Internet Retail
CYATY,CYATY,2.24,-12.56,37,71,32,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,0.17,17.38,100,100,61,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,-6.84,5.85,64,75,59,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,-8.26,-24.77,0,0,5,Communication Services,Telecom Services
NVS,Novartis AG,-0.64,1.35,100,100,70,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,-8.87,-24.65,0,0,38,Communication Services,Telecom Services
NVSEF,Novartis AG,5.68,3.35,100,100,68,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,-0.81,11.59,100,100,68,Financial Services,Banks - Diversified
KLAC,KLA Corporation,-10.8,-43.59,0,0,78,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,5.91,11.83,100,100,26,Consumer Cyclical,Auto Manufacturers
LRLCF,L'Oréal S.A.,1.32,-3.9,61,92,35,Consumer Defensive,Household & Personal Products
SMAWF,Siemens Aktiengesellschaft,0.12,-2.4,79,100,47,Industrials,Specialty Industrial Machinery
PANW,"Palo Alto Networks, Inc.",-1.52,-7.88,2,38,94,Technology,Computer peripheral equipment
BHP,BHP Group Limited,-0.81,-0.24,100,100,82,Energy,Coal Mining
AXP,American Express Company,-1.52,-1.73,32,71,38,Finance,Finance: Consumer Services
SAP,SAP SE,3.81,20.69,100,100,17,Technology,Computer Software: Prepackaged Software
APP,AppLovin Corporation,-4.49,-22.47,8,15,14,Technology,Computer Software: Programming Data Processing
ADI,"Analog Devices, Inc.",-3.41,-11.03,0,23,74,Technology,Semiconductors
HESAF,Hermès International Société en commandite par actions,-7.16,-5.67,0,44,9,Consumer Cyclical,Luxury Goods
CMWAY,Commonwealth Bank of Australia,-1.86,7.64,97,100,50,Financial Services,Banks - Diversified
PEP,"PepsiCo, Inc.",0.45,5.98,100,100,31,Consumer Staples,Beverages (Production/Distribution)
IDEXF,"Industria de Diseño Textil, S.A.",-0.35,1.83,82,100,56,Consumer Cyclical,Apparel Retail
ABLZF,ABB Ltd,-0.71,-14.5,6,17,63,Industrials,Electrical Equipment & Parts
RIO,Rio Tinto Group,2.2,-1.34,100,100,69,Basic Materials,Metal Mining
TMO,TMO,0.01,14.98,100,100,59,Industrials,Industrial Machinery/Components
AMGN,Amgen Inc.,-1.39,7.05,100,100,74,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RTPPF,Rio Tinto Group,5.23,-1.4,100,100,70,Basic Materials,Other Industrial Metals & Mining
DIS,DIS,-0.41,2.32,100,100,22,Consumer Discretionary,Services-Misc. Amusement & Recreation
TJX,"The TJX Companies, Inc.",0.52,6.69,100,100,60,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ALIZY,Allianz SE,-1.3,3.2,100,100,70,Financial Services,Insurance - Diversified
EADSY,Airbus SE,-4.04,4.33,75,85,56,Industrials,Aerospace & Defense
SMEGF,Siemens Energy AG,-0.63,-18.28,4,10,43,Industrials,Specialty Industrial Machinery
DTEGY,Deutsche Telekom AG,-0.19,14.99,100,100,30,Communication Services,Telecom Services
FRCOF,"Fast Retailing Co., Ltd.",2.62,-4.52,60,85,81,Consumer Cyclical,Apparel Retail
GLW,Corning Incorporated,-1.56,-51.43,0,1,81,Industrials,Telecommunications Equipment
SHOP,Shopify Inc.,-0.85,13.13,100,100,30,Technology,Computer Software: Prepackaged Software
IBDSF,"Iberdrola, S.A.",-0.54,-4.16,56,100,60,Utilities,Utilities - Diversified
RYCEY,Rolls-Royce Holdings plc,-1.59,-3.74,42,100,75,Industrials,Aerospace & Defense
TOELY,Tokyo Electron Limited,-9.58,-38.27,0,0,80,Technology,Semiconductor Equipment & Materials
SAFRY,Safran SA,-0.25,-1.06,77,100,69,Industrials,Aerospace & Defense
HTHIY,"Hitachi, Ltd.",7.91,16.49,100,100,42,Industrials,Conglomerates
WELL,Welltower Inc.,-1.02,6.22,69,92,82,Real Estate,Real Estate Investment Trusts
UBER,"Uber Technologies, Inc.",0.65,-1.33,78,100,17,Consumer Discretionary,Business Services
CIHHF,"China Merchants Bank Co., Ltd.",0.0,9.85,94,100,32,Financial Services,Banks - Regional
DBSDY,DBS Group Holdings Ltd,0.92,14.1,100,100,88,Financial Services,Banks - Regional
COP,ConocoPhillips,3.47,13.56,96,100,64,Energy,Integrated oil Companies
PLDGP,"Prologis, Inc.",0.0,-2.93,73,100,34,Real Estate,REIT - Industrial
BBVXF,"Banco Bilbao Vizcaya Argentaria, S.A.",-1.35,2.16,96,100,79,Financial Services,Banks - Diversified
BTAFF,British American Tobacco p.l.c.,-0.05,1.52,89,100,60,Consumer Defensive,Tobacco
BKNG,Booking Holdings Inc.,1.0,12.94,100,100,43,Consumer Discretionary,Transportation Services
NOW,"ServiceNow, Inc.",4.65,16.6,100,100,24,Technology,Computer Software: Prepackaged Software
CFRUY,Compagnie Financière Richemont SA,-3.35,-0.22,65,89,75,Consumer Cyclical,Luxury Goods
IFNNF,Infineon Technologies AG,-5.44,-33.06,0,0,77,Technology,Semiconductors
