ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,2.19,8.14,58,59,50,Technology,Semiconductors
AAPL,Apple Inc,-0.14,-8.8,19,20,58,Technology,Computer Manufacturing
AVGO,Broadcom Inc,-0.56,-6.35,0,0,32,Technology,Semiconductors
META,Meta Platforms Inc,1.97,-3.94,38,35,15,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,4.91,5.4,44,40,96,Technology,Semiconductors
ASMLF,ASML Holding N.V.,1.26,10.98,54,54,89,Technology,Semiconductor Equipment & Materials
XOM,ExxonMobil Holdings Corporation,-2.08,5.65,63,63,72,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,-0.98,-0.87,25,29,12,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,-0.08,6.51,95,90,61,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,1.45,16.71,66,68,94,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,-1.8,39.83,87,87,70,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,-1.58,7.49,71,76,67,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",-0.86,0.86,26,17,94,Technology,Semiconductors
KO,The Coca-Cola Company,-0.38,3.82,75,63,71,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,1.74,3.45,100,91,67,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,2.54,7.1,100,99,62,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,0.4,0.76,54,54,54,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,0.0,1.61,34,40,11,Consumer Cyclical,Internet Retail
CYATY,"Contemporary Amperex Technology Co., Limited",-1.78,3.76,0,5,27,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,0.21,0.56,56,52,59,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,-2.61,-4.27,12,15,55,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,5.89,6.33,45,41,3,Communication Services,Telecom Services
NVS,Novartis AG,1.24,0.08,62,56,59,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,1.71,3.08,36,30,24,Communication Services,Telecom Services
NVSEF,Novartis AG,0.0,9.07,87,76,61,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,1.2,1.78,72,64,65,Financial Services,Banks - Diversified
KLAC,KLA Corporation,0.97,-3.8,17,3,85,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,-2.61,5.91,31,33,22,Consumer Cyclical,Auto Manufacturers
LRLCF,L'Oréal S.A.,-1.91,4.8,32,37,32,Consumer Defensive,Household & Personal Products
SMAWF,Siemens Aktiengesellschaft,0.33,8.26,100,93,62,Industrials,Specialty Industrial Machinery
PANW,"Palo Alto Networks, Inc.",-3.13,6.55,17,5,95,Technology,Computer peripheral equipment
BHP,BHP Group Limited,1.61,17.78,100,100,88,Energy,Coal Mining
AXP,American Express Company,-0.41,-0.2,21,30,42,Finance,Finance: Consumer Services
SAP,SAP SE,-0.79,21.07,93,90,46,Technology,Computer Software: Prepackaged Software
APP,AppLovin Corporation,4.0,-25.75,9,9,3,Technology,Computer Software: Programming Data Processing
ADI,"Analog Devices, Inc.",0.67,2.14,37,39,69,Technology,Semiconductors
HESAF,Hermès International Société en commandite par actions,-2.75,-4.92,25,39,9,Consumer Cyclical,Luxury Goods
CMWAY,Commonwealth Bank of Australia,0.74,-8.73,7,9,33,Financial Services,Banks - Diversified
