ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,4.03,5.26,87,100,65,Technology,Semiconductors
AAPL,Apple Inc,-0.28,8.14,93,90,77,Technology,Computer Manufacturing
AVGO,Broadcom Inc,-0.28,7.66,69,92,71,Technology,Semiconductors
META,Meta Platforms Inc,5.97,17.31,100,100,37,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,2.04,23.32,66,81,97,Technology,Semiconductors
ASMLF,ASML Holding N.V.,-0.93,3.13,14,8,90,Technology,Semiconductor Equipment & Materials
XOM,ExxonMobil Holdings Corporation,1.03,-7.79,13,30,54,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,-0.49,-0.6,74,75,13,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,0.68,7.88,66,71,32,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,-0.8,8.94,19,18,95,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,-1.74,-2.63,65,63,15,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,1.35,-7.06,38,52,51,Energy,Integrated oil Companies
AMAT,AMAT,2.35,21.22,25,28,96,Technology,Semiconductors
KO,The Coca-Cola Company,1.04,0.53,61,70,67,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,-0.23,2.94,53,63,56,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,2.3,3.86,66,73,51,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,-0.11,-5.26,20,27,39,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,-1.17,-10.3,52,53,12,Consumer Cyclical,Internet Retail
CYATY,CYATY,-7.62,-10.6,0,0,28,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,0.53,-4.39,24,38,44,Financial Services,Banks - Diversified
