ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,-1.51,2.6,55,59,62,Technology,Semiconductors
AAPL,Apple Inc,2.61,5.18,100,100,69,Technology,Computer Manufacturing
AVGO,Broadcom Inc,-0.18,-11.59,24,25,31,Technology,Semiconductors
META,Meta Platforms Inc,1.08,-1.6,74,79,19,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,-2.36,-11.37,8,5,96,Technology,Semiconductors
ASMLF,ASML Holding N.V.,-1.15,0.17,3,7,88,Technology,Semiconductor Equipment & Materials
XOM,ExxonMobil Holdings Corporation,2.24,6.81,92,95,79,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,0.27,-10.61,19,28,14,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,-1.39,1.77,63,64,57,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,-3.74,-1.5,0,0,93,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,-3.47,10.61,83,86,66,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,2.38,11.81,100,100,78,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",-3.61,-14.64,0,0,92,Technology,Semiconductors
KO,The Coca-Cola Company,-0.76,1.31,40,47,70,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,-1.14,-3.61,0,6,57,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,-3.81,2.51,18,19,52,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,2.83,5.08,100,100,70,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,-10.84,-12.73,4,11,13,Consumer Cyclical,Internet Retail
CYATY,"Contemporary Amperex Technology Co., Limited",-1.85,-6.34,0,0,16,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,1.32,4.56,100,100,75,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,-1.61,6.09,91,97,73,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,-3.69,-4.42,7,5,2,Communication Services,Telecom Services
NVS,Novartis AG,6.04,4.93,100,100,66,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,-1.67,-4.28,7,4,24,Communication Services,Telecom Services
NVSEF,Novartis AG,11.79,6.7,94,92,65,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,1.28,8.73,100,100,81,Financial Services,Banks - Diversified
KLAC,KLA Corporation,-2.6,-12.47,0,0,79,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,3.98,5.53,100,100,31,Consumer Cyclical,Auto Manufacturers
LRLCF,L'Oréal S.A.,-1.9,-2.78,31,41,30,Consumer Defensive,Household & Personal Products
SMAWF,Siemens Aktiengesellschaft,-1.94,-1.21,47,49,55,Industrials,Specialty Industrial Machinery
PANW,"Palo Alto Networks, Inc.",-5.24,4.31,49,54,96,Technology,Computer peripheral equipment
BHP,BHP Group Limited,-1.17,11.16,59,62,84,Energy,Coal Mining
AXP,American Express Company,-1.81,-5.96,0,0,37,Finance,Finance: Consumer Services
SAP,SAP SE,-4.01,11.81,72,75,33,Technology,Computer Software: Prepackaged Software
APP,AppLovin Corporation,-0.1,-23.25,12,13,2,Technology,Computer Software: Programming Data Processing
ADI,"Analog Devices, Inc.",-1.81,-6.49,0,0,57,Technology,Semiconductors
HESAF,Hermès International Société en commandite par actions,-2.44,-1.31,37,49,12,Consumer Cyclical,Luxury Goods
CMWAY,Commonwealth Bank of Australia,-1.44,-8.32,18,23,39,Financial Services,Banks - Diversified
PEP,"PepsiCo, Inc.",-0.39,0.11,47,53,28,Consumer Staples,Beverages (Production/Distribution)
IDEXF,"Industria de Diseño Textil, S.A.",-0.33,0.03,43,50,66,Consumer Cyclical,Apparel Retail
ABLZF,ABB Ltd,-2.06,-2.53,0,0,59,Industrials,Electrical Equipment & Parts
RIO,Rio Tinto Group,-0.62,8.55,65,67,77,Basic Materials,Metal Mining
TMO,Thermo Fisher Scientific Inc.,-2.69,4.61,59,62,68,Industrials,Industrial Machinery/Components
AMGN,Amgen Inc.,1.92,16.31,92,90,86,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RTPPF,Rio Tinto Group,-1.62,9.64,59,61,79,Basic Materials,Other Industrial Metals & Mining
DIS,The Walt Disney Company,-1.24,8.23,68,69,38,Consumer Discretionary,Services-Misc. Amusement & Recreation
TJX,"The TJX Companies, Inc.",-0.48,-15.12,2,6,17,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ALIZY,Allianz SE,0.27,4.99,97,97,78,Financial Services,Insurance - Diversified
EADSY,Airbus SE,-0.95,-6.11,0,4,53,Industrials,Aerospace & Defense
SMEGF,Siemens Energy AG,-1.78,-3.77,0,0,48,Industrials,Specialty Industrial Machinery
DTEGY,Deutsche Telekom AG,-0.6,1.26,56,54,28,Communication Services,Telecom Services
FRCOF,"Fast Retailing Co., Ltd.",4.99,-10.03,36,41,54,Consumer Cyclical,Apparel Retail
GLW,Corning Incorporated,-2.13,-0.74,1,0,82,Industrials,Telecommunications Equipment
SHOP,Shopify Inc.,-5.12,19.49,54,59,47,Technology,Computer Software: Prepackaged Software
IBDSF,"Iberdrola, S.A.",-1.69,-0.6,39,54,50,Utilities,Utilities - Diversified
RYCEY,Rolls-Royce Holdings plc,-3.4,-2.83,0,0,77,Industrials,Aerospace & Defense
TOELY,Tokyo Electron Limited,-5.38,-5.67,0,0,89,Technology,Semiconductor Equipment & Materials
SAFRY,Safran SA,-2.06,-5.96,0,0,57,Industrials,Aerospace & Defense
HTHIY,"Hitachi, Ltd.",0.29,0.15,48,54,55,Industrials,Conglomerates
WELL,Welltower Inc.,1.77,3.53,100,100,78,Real Estate,Real Estate Investment Trusts
UBER,"Uber Technologies, Inc.",-0.54,5.07,62,63,24,Consumer Discretionary,Business Services
CIHHF,"China Merchants Bank Co., Ltd.",0.0,5.57,100,100,53,Financial Services,Banks - Regional
DBSDY,DBS Group Holdings Ltd,-0.24,5.09,100,100,89,Financial Services,Banks - Regional
COP,ConocoPhillips,2.79,15.05,100,100,84,Energy,Integrated oil Companies
PLDGP,"Prologis, Inc.",-0.04,-1.31,72,79,31,Real Estate,REIT - Industrial
BBVXF,"Banco Bilbao Vizcaya Argentaria, S.A.",2.53,5.69,100,95,89,Financial Services,Banks - Diversified
BTAFF,British American Tobacco p.l.c.,-0.72,-7.57,11,13,25,Consumer Defensive,Tobacco
BKNG,Booking Holdings Inc.,-1.71,1.55,18,24,51,Consumer Discretionary,Transportation Services
NOW,"ServiceNow, Inc.",-3.44,20.96,87,90,42,Technology,Computer Software: Prepackaged Software
CFRUY,Compagnie Financière Richemont SA,-2.45,-3.63,32,46,67,Consumer Cyclical,Luxury Goods
IFNNF,Infineon Technologies AG,-1.52,-8.53,18,19,63,Technology,Semiconductors
IFNNY,Infineon Technologies AG,-2.29,-10.24,7,9,63,Technology,Semiconductors
KYCCF,Keyence Corporation,-2.9,-3.89,25,24,72,Technology,Scientific & Technical Instruments
VRT,Vertiv Holdings Co,-1.06,-2.69,5,4,72,Technology,Industrial Machinery/Components
PDD,PDD Holdings Inc.,-0.99,-7.74,8,18,11,Technology,EDP Services
ENNPF,Enbridge Inc.,0.0,2.6,84,71,49,Energy,Oil & Gas Midstream
ZIJMF,Zijin Mining Group Company Limited,5.43,23.1,81,82,74,Basic Materials,Gold
ENB,Enbridge Inc.,0.3,-4.96,51,70,37,Energy,Natural Gas Distribution
ADTTF,Advantest Corporation,-2.56,3.84,29,34,95,Technology,Semiconductor Equipment & Materials
NEM,Newmont Corporation,-2.72,28.58,69,69,79,Basic Materials,Precious Metals
BMY,Bristol-Myers Squibb Company,0.16,2.21,87,88,82,Health Care,Biotechnology: Pharmaceutical Preparations
CVS,CVS Health Corporation,3.93,-7.37,51,59,73,Consumer Staples,Retail-Drug Stores and Proprietary Stores
ACN,Accenture plc,-0.88,13.47,98,100,16,Consumer Discretionary,Business Services
ENLAY,Enel SpA,-2.93,-6.84,0,0,42,Utilities,Utilities - Diversified
PGR,The Progressive Corporation,1.13,4.79,87,86,48,Finance,Property-Casualty Insurers
AAGIY,AIA Group Limited,0.28,-3.41,88,99,26,Financial Services,Insurance - Life
BP,BP p.l.c.,3.73,1.71,87,90,68,Energy,Integrated oil Companies
PH,Parker-Hannifin Corporation,-2.79,-4.55,0,0,61,Industrials,Metal Fabrications
BPAQF,BP p.l.c.,0.0,-8.47,5,9,44,Energy,Oil & Gas Integrated
ZFSVF,Zurich Insurance Group AG,0.0,-0.87,80,88,44,Financial Services,Insurance - Diversified
CEG,Constellation Energy Corporation,2.02,2.57,100,100,22,Utilities,Electric Utilities: Central
HWM,Howmet Aerospace Inc.,4.06,-10.94,25,28,62,Industrials,Metal Fabrications
BAMGF,Brookfield Corporation,0.0,0.0,70,59,60,Financial Services,Asset Management
FTNT,"Fortinet, Inc.",-5.31,-0.83,56,60,95,Technology,Computer peripheral equipment
CME,CME Group Inc.,0.33,7.62,100,100,48,Finance,Investment Bankers/Brokers/Service
FDX,FedEx Corporation,-0.77,5.06,65,65,78,Consumer Discretionary,Air Freight/Delivery Services
SHECY,"Shin-Etsu Chemical Co., Ltd.",-2.3,-0.38,0,0,28,Basic Materials,Chemicals
AXAHY,AXA SA,1.12,-2.23,46,53,62,Financial Services,Insurance - Diversified
MDT,Medtronic plc,1.53,6.18,85,88,52,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CHDRF,Christian Dior SE,0.0,-4.38,4,4,11,Consumer Cyclical,Luxury Goods
ESLOY,EssilorLuxottica Société anonyme,-0.78,-6.26,21,29,6,Healthcare,Medical Instruments & Supplies
ITOCF,ITOCHU Corporation,-0.15,7.75,89,97,5,Industrials,Conglomerates
MITSY,"Mitsui & Co., Ltd.",2.7,3.1,100,100,54,Industrials,Conglomerates
SBKFF,State Bank of India,0.0,-8.11,13,19,34,Financial Services,Banks - Regional
INGVF,ING Groep N.V.,1.49,-0.37,47,53,79,Financial Services,Banks - Diversified
AEM,Agnico Eagle Mines Limited,-4.54,31.52,61,61,56,Basic Materials,Precious Metals
UPS,"United Parcel Service, Inc.",-1.51,-2.41,38,61,44,Industrials,Trucking Freight/Courier Services
PROSF,Prosus N.V.,0.0,3.87,41,47,15,Consumer Cyclical,Internet Retail
ATLPF,Atlas Copco AB (publ),-1.48,0.64,17,27,82,Industrials,Specialty Industrial Machinery
ATLCY,Atlas Copco AB (publ),-3.61,-4.03,0,0,62,Industrials,Specialty Industrial Machinery
CMI,Cummins Inc.,-2.35,-14.74,0,0,43,Industrials,Industrial Machinery/Components
MGCLY,"Midea Group Co., Ltd.",-0.47,2.83,100,100,72,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
ADP,"Automatic Data Processing, Inc.",-0.93,5.08,97,100,69,Industrials,Diversified Commercial Services
ING,ING Groep N.V.,-0.2,1.01,88,90,84,Finance,Commercial Banks
BCMXY,"Bank of Communications Co., Ltd.",0.0,17.72,70,70,51,Financial Services,Banks - Diversified
AMT,American Tower Corporation,0.18,1.75,83,79,25,Real Estate,Real Estate Investment Trusts
SNPMF,China Petroleum & Chemical Corporation,0.0,13.21,100,100,37,Energy,Oil & Gas Integrated
MNST,Monster Beverage Corporation,-2.03,-6.64,0,2,2,Consumer Staples,Beverages (Production/Distribution)
NET,"Cloudflare, Inc.",-6.42,0.98,20,21,83,Technology,Computer Software: Prepackaged Software
USB,U.S. Bancorp,-0.6,-4.27,2,13,73,Finance,Major Banks
WM,"Waste Management, Inc.",0.39,-2.94,39,46,35,Utilities,Environmental Services
BCLYF,Barclays PLC,2.92,-2.19,36,44,72,Financial Services,Banks - Diversified
AMXOF,"América Móvil, S.A.B. de C.V.",0.0,-4.69,50,50,87,Communication Services,Telecom Services
OVCHY,Oversea-Chinese Banking Corporation Limited,-0.5,11.07,96,96,94,Financial Services,Banks - Regional
NABZY,National Australia Bank Limited,-1.38,-6.94,6,12,30,Financial Services,Banks - Diversified
CHGCY,"Chugai Pharmaceutical Co., Ltd.",-0.32,1.61,49,57,13,Healthcare,Drug Manufacturers - General
NXPI,NXP Semiconductors N.V.,-1.0,-6.4,7,11,20,Technology,Semiconductors
LLDTF,Lloyds Banking Group plc,0.0,-5.0,50,61,78,Financial Services,Banks - Regional
RACE,Ferrari N.V.,-2.93,2.23,34,42,54,Industrials,Auto Manufacturing
BAESF,BAE Systems plc,1.05,-3.95,16,22,57,Industrials,Aerospace & Defense
NTTYY,"NTT, Inc.",1.64,12.98,100,100,61,Communication Services,Telecom Services
MMM,3M Company,-0.93,-3.52,0,6,54,Health Care,Medical/Dental Instruments
EPD,Enterprise Products Partners L.P.,1.18,3.72,100,100,67,Utilities,Natural Gas Distribution
MCO,Moody's Corporation,-1.97,2.56,61,65,44,Finance,Finance: Consumer Services
AMX,"América Móvil, S.A.B. de C.V.",-0.26,-7.93,11,27,31,Telecommunications,Telecommunications Equipment
MRSH,"Marsh & McLennan Companies, Inc.",-1.17,-2.73,47,55,48,Finance,Specialty Insurers
ENGQF,Engie SA,-4.19,-8.97,0,0,38,Utilities,Utilities - Diversified
ANZGY,ANZ Group Holdings Limited,-0.41,1.45,71,92,56,Financial Services,Banks - Diversified
SHW,The Sherwin-Williams Company,-2.62,-6.64,0,0,37,Consumer Discretionary,RETAIL: Building Materials
APO,"Apollo Global Management, Inc.",-3.58,2.18,44,53,48,Finance,Investment Managers
VLO,Valero Energy Corporation,0.86,17.71,100,100,96,Energy,Integrated oil Companies
CL,Colgate-Palmolive Company,-0.21,-0.28,20,41,44,Consumer Discretionary,Package Goods/Cosmetics
ORLY,"O'Reilly Automotive, Inc.",-0.96,-2.02,20,28,23,Consumer Discretionary,Auto & Home Supply Stores
B,Barrick Mining Corporation,-3.86,15.36,49,51,62,Basic Materials,Precious Metals
EOG,"EOG Resources, Inc.",2.34,1.83,80,83,73,Energy,Oil & Gas Production
PSX,Phillips 66,2.21,22.88,100,100,95,Energy,Integrated oil Companies
F,Ford Motor Company,-0.72,-1.76,38,46,42,Industrials,Auto Manufacturing
TRP,TC Energy Corporation,0.98,-4.13,56,75,50,Utilities,Natural Gas Distribution
KMI,"Kinder Morgan, Inc.",-0.43,2.23,76,86,57,Utilities,Natural Gas Distribution
AEP,"American Electric Power Company, Inc.",0.43,-3.45,48,58,39,Utilities,Electric Utilities: Central
CTAS,Cintas Corporation,-0.59,-1.42,47,55,52,Industrials,Garments and Clothing
VALE,Vale S.A.,0.2,4.86,93,93,64,Basic Materials,Metal Mining
WBD,"Warner Bros. Discovery, Inc.",-0.74,8.55,87,87,85,Consumer Discretionary,Services-Misc. Amusement & Recreation
MSI,"Motorola Solutions, Inc.",1.22,12.36,100,100,67,Technology,Radio And Television Broadcasting And Communications Equipment
DHLGY,Deutsche Post AG,-1.69,-3.33,47,57,74,Industrials,Integrated Freight & Logistics
SPG,"Simon Property Group, Inc.",-0.21,-7.54,8,19,60,Real Estate,Real Estate Investment Trusts
DPSTF,Deutsche Post AG,0.0,0.02,87,88,76,Industrials,Integrated Freight & Logistics
WFAFY,Wesfarmers Limited,-3.23,-12.99,0,0,30,Consumer Cyclical,Home Improvement Retail
HKXCY,Hong Kong Exchanges and Clearing Limited,-3.19,1.0,58,68,34,Financial Services,Financial Data & Stock Exchanges
FIX,"Comfort Systems USA, Inc.",0.57,-12.18,6,10,84,Industrials,Engineering & Construction
MFC,Manulife Financial Corporation,-0.64,-4.53,4,14,76,Finance,Life Insurance
MQBKY,Macquarie Group Limited,-2.08,-2.05,0,0,69,Financial Services,Capital Markets
TEL,TE Connectivity plc,1.34,1.87,53,58,31,Technology,Electronic Components
APD,"Air Products and Chemicals, Inc.",-1.34,4.23,88,92,60,Basic Materials,Major Chemicals
RSG,"Republic Services, Inc.",1.07,6.52,100,99,44,Utilities,Environmental Services
STMEF,STMicroelectronics N.V.,0.0,-5.01,6,11,89,Technology,Semiconductors
WPM,Wheaton Precious Metals Corp.,-3.91,29.74,63,64,72,Basic Materials,Precious Metals
