ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,2.22,-9.18,4,0,65,Technology,Semiconductors
AAPL,Apple Inc,1.39,-1.08,29,7,70,Technology,Computer Manufacturing
AVGO,Broadcom Inc,3.62,-7.49,8,1,64,Technology,Semiconductors
META,Meta Platforms Inc,-0.45,-7.82,0,0,14,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,7.97,9.64,63,66,97,Technology,Semiconductors
ASMLF,ASML Holding N.V.,9.01,19.23,100,100,92,Technology,Semiconductor Equipment & Materials
XOM,Exxon Mobil Corporation,-2.67,-2.62,23,22,64,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,-0.49,-3.22,82,73,13,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,-0.53,-0.84,58,54,22,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,12.65,22.71,100,100,96,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,0.67,0.79,3,3,14,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,-2.1,0.82,39,35,60,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",11.19,26.73,100,100,96,Technology,Semiconductors
KO,The Coca-Cola Company,-1.27,2.83,76,68,60,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,1.84,0.18,72,68,58,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,0.0,-2.01,35,35,43,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,2.5,-3.23,73,62,57,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,-2.15,-17.9,9,11,16,Consumer Cyclical,Internet Retail
CYATY,CYATY,2.81,-1.95,28,31,50,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,0.13,-2.1,78,66,56,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,-0.89,-5.13,62,61,54,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,10.33,8.55,41,40,45,Communication Services,Telecom Services
NVS,Novartis AG,3.92,2.78,100,100,61,Health Care,Biotechnology: Pharmaceutical Preparations
