ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,2.56,7.62,61,57,52,Technology,Semiconductors
AAPL,Apple Inc,1.96,-0.41,1,0,68,Technology,Computer Manufacturing
AVGO,Broadcom Inc,6.61,12.78,100,100,63,Technology,Semiconductors
META,Meta Platforms Inc,-0.39,-4.49,20,15,15,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,7.0,0.48,56,50,96,Technology,Semiconductors
ASMLF,ASML Holding N.V.,2.15,-1.49,27,7,90,Technology,Semiconductor Equipment & Materials
XOM,XOM,-0.71,8.66,52,48,66,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,0.3,5.99,79,68,19,Communication Services,Internet Content & Information
MA,MA,0.02,7.61,54,51,45,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,7.85,-2.57,53,54,95,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,29.45,21.05,100,100,39,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,-1.44,9.42,48,45,57,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",5.48,-1.42,55,56,96,Technology,Semiconductors
KO,KO,-0.35,2.99,23,26,66,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,0.62,6.23,54,49,69,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,5.65,7.03,56,48,63,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,-3.1,11.25,33,37,45,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,-2.39,32.17,78,74,14,Consumer Cyclical,Internet Retail
CYATY,CYATY,4.27,0.0,78,71,38,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,-3.07,13.83,43,42,53,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,0.0,12.75,63,57,50,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,7.91,1.11,54,54,9,Communication Services,Telecom Services
NVS,Novartis AG,-0.26,-2.39,0,9,61,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,7.47,2.29,58,59,67,Communication Services,Telecom Services
NVSEF,Novartis AG,0.0,-5.05,14,17,55,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,-2.47,10.84,32,36,60,Financial Services,Banks - Diversified
KLAC,KLA Corporation,6.95,-9.71,27,20,89,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,-0.11,4.45,45,43,24,Consumer Cyclical,Auto Manufacturers
