ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,-2.34,6.01,84,86,54,Technology,Semiconductors
AAPL,Apple Inc,1.45,-5.32,18,16,60,Technology,Computer Manufacturing
AVGO,Broadcom Inc,-3.17,-1.68,0,0,45,Technology,Semiconductors
META,Meta Platforms Inc,-4.45,-15.55,0,0,12,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,-4.27,-11.03,28,19,96,Technology,Semiconductors
ASMLF,ASML Holding N.V.,-4.77,3.99,64,55,91,Technology,Semiconductor Equipment & Materials
XOM,ExxonMobil Holdings Corporation,2.54,9.84,100,82,75,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,-2.96,-6.33,4,7,11,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,2.14,6.69,55,48,48,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,-4.63,1.84,82,84,95,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,-0.59,29.31,90,92,62,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,1.5,7.68,100,90,68,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",-3.92,-8.9,44,37,96,Technology,Semiconductors
KO,The Coca-Cola Company,2.12,8.36,47,40,65,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,1.68,8.58,45,39,63,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,-1.68,5.52,32,31,53,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,3.32,5.93,33,31,44,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,3.07,2.98,73,71,16,Consumer Cyclical,Internet Retail
CYATY,CYATY,-0.58,3.82,47,41,31,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,0.62,5.17,27,24,53,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,-1.71,11.65,62,55,53,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,1.43,4.03,93,94,8,Communication Services,Telecom Services
NVS,Novartis AG,1.7,0.44,30,27,53,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,-3.85,-3.8,77,74,51,Communication Services,Telecom Services
NVSEF,Novartis AG,2.6,-2.14,22,22,47,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,0.18,2.87,25,21,56,Financial Services,Banks - Diversified
KLAC,KLA Corporation,-5.33,-10.36,33,25,90,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,-1.26,4.79,15,18,19,Consumer Cyclical,Auto Manufacturers
LRLCF,L'Oréal S.A.,-1.28,0.33,0,5,31,Consumer Defensive,Household & Personal Products
SMAWF,Siemens Aktiengesellschaft,-2.98,6.57,41,40,57,Industrials,Specialty Industrial Machinery
PANW,"Palo Alto Networks, Inc.",-0.43,9.35,73,74,95,Technology,Computer peripheral equipment
BHP,BHP Group Limited,0.81,6.76,84,78,82,Energy,Coal Mining
AXP,American Express Company,0.69,-3.5,19,28,41,Finance,Finance: Consumer Services
SAP,SAP SE,1.27,36.37,100,100,36,Technology,Computer Software: Prepackaged Software
APP,AppLovin Corporation,-1.51,-28.33,4,4,3,Technology,Computer Software: Programming Data Processing
ADI,"Analog Devices, Inc.",-3.5,-1.61,33,25,73,Technology,Semiconductors
HESAF,Hermès International Société en commandite par actions,0.99,-2.21,23,26,11,Consumer Cyclical,Luxury Goods
CMWAY,Commonwealth Bank of Australia,-1.71,-3.9,0,0,36,Financial Services,Banks - Diversified
PEP,"PepsiCo, Inc.",1.37,3.8,24,21,23,Consumer Staples,Beverages (Production/Distribution)
IDEXF,"Industria de Diseño Textil, S.A.",0.71,8.54,42,43,59,Consumer Cyclical,Apparel Retail
ABLZF,ABB Ltd,-3.42,-0.56,25,0,65,Industrials,Electrical Equipment & Parts
RIO,Rio Tinto Group,-0.53,9.13,63,61,70,Basic Materials,Metal Mining
TMO,Thermo Fisher Scientific Inc.,0.6,12.53,74,60,70,Industrials,Industrial Machinery/Components
AMGN,Amgen Inc.,1.41,16.12,100,100,80,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RTPPF,Rio Tinto Group,0.0,11.28,73,77,69,Basic Materials,Other Industrial Metals & Mining
DIS,The Walt Disney Company,0.43,8.12,82,73,28,Consumer Discretionary,Services-Misc. Amusement & Recreation
TJX,"The TJX Companies, Inc.",0.0,-2.4,5,10,39,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ALIZY,Allianz SE,0.73,5.9,69,47,67,Financial Services,Insurance - Diversified
EADSY,Airbus SE,-1.86,6.74,24,14,58,Industrials,Aerospace & Defense
SMEGF,Siemens Energy AG,-5.85,1.99,55,53,61,Industrials,Specialty Industrial Machinery
DTEGY,Deutsche Telekom AG,1.46,9.96,96,83,29,Communication Services,Telecom Services
FRCOF,"Fast Retailing Co., Ltd.",-7.19,-10.4,0,0,56,Consumer Cyclical,Apparel Retail
GLW,Corning Incorporated,-7.68,-1.55,71,72,89,Industrials,Telecommunications Equipment
SHOP,Shopify Inc.,-1.39,19.14,75,78,73,Technology,Computer Software: Prepackaged Software
IBDSF,"Iberdrola, S.A.",0.73,-3.76,23,22,49,Utilities,Utilities - Diversified
RYCEY,Rolls-Royce Holdings plc,-1.37,12.3,93,95,84,Industrials,Aerospace & Defense
TOELY,Tokyo Electron Limited,-9.85,-18.6,24,17,89,Technology,Semiconductor Equipment & Materials
SAFRY,Safran SA,-1.74,9.2,82,71,68,Industrials,Aerospace & Defense
HTHIY,"Hitachi, Ltd.",-2.79,15.34,70,72,52,Industrials,Conglomerates
WELL,Welltower Inc.,0.06,-4.08,31,27,69,Real Estate,Real Estate Investment Trusts
UBER,"Uber Technologies, Inc.",-0.44,4.35,65,63,21,Consumer Discretionary,Business Services
CIHHF,"China Merchants Bank Co., Ltd.",7.65,-3.2,58,49,30,Financial Services,Banks - Regional
DBSDY,DBS Group Holdings Ltd,-1.6,6.97,69,43,85,Financial Services,Banks - Regional
COP,ConocoPhillips,1.69,11.14,100,100,74,Energy,Integrated oil Companies
PLDGP,"Prologis, Inc.",-0.48,-1.23,18,17,32,Real Estate,REIT - Industrial
BBVXF,"Banco Bilbao Vizcaya Argentaria, S.A.",0.88,15.87,90,95,85,Financial Services,Banks - Diversified
BTAFF,British American Tobacco p.l.c.,-2.88,-12.49,4,5,22,Consumer Defensive,Tobacco
BKNG,Booking Holdings Inc.,1.7,16.08,86,74,67,Consumer Discretionary,Transportation Services
NOW,"ServiceNow, Inc.",1.52,17.08,76,75,26,Technology,Computer Software: Prepackaged Software
CFRUY,Compagnie Financière Richemont SA,0.09,-5.92,9,14,66,Consumer Cyclical,Luxury Goods
IFNNF,Infineon Technologies AG,0.0,-5.83,47,40,81,Technology,Semiconductors
IFNNY,Infineon Technologies AG,-6.82,-13.72,9,0,73,Technology,Semiconductors
KYCCF,Keyence Corporation,-5.3,16.66,63,65,76,Technology,Scientific & Technical Instruments
VRT,Vertiv Holdings Co,-6.8,-10.5,47,44,79,Technology,Industrial Machinery/Components
PDD,PDD Holdings Inc.,0.38,2.88,43,36,10,Technology,EDP Services
ENNPF,Enbridge Inc.,0.0,3.87,58,28,50,Energy,Oil & Gas Midstream
ZIJMF,Zijin Mining Group Company Limited,-3.16,17.84,77,74,53,Basic Materials,Gold
ENB,Enbridge Inc.,1.6,-6.06,18,19,37,Energy,Natural Gas Distribution
ADTTF,Advantest Corporation,-10.55,14.32,68,69,94,Technology,Semiconductor Equipment & Materials
NEM,Newmont Corporation,-3.62,25.4,86,89,70,Basic Materials,Precious Metals
BMY,Bristol-Myers Squibb Company,2.2,8.4,78,64,75,Health Care,Biotechnology: Pharmaceutical Preparations
CVS,CVS Health Corporation,0.96,-13.65,9,11,64,Consumer Staples,Retail-Drug Stores and Proprietary Stores
ACN,Accenture plc,1.74,22.77,76,67,12,Consumer Discretionary,Business Services
ENLAY,Enel SpA,-0.18,-2.32,9,12,44,Utilities,Utilities - Diversified
PGR,The Progressive Corporation,1.66,0.65,16,18,29,Finance,Property-Casualty Insurers
AAGIY,AIA Group Limited,-1.1,-5.95,16,17,16,Financial Services,Insurance - Life
BP,BP p.l.c.,1.31,2.77,53,46,59,Energy,Integrated oil Companies
PH,Parker-Hannifin Corporation,-1.13,8.57,67,64,72,Industrials,Metal Fabrications
BPAQF,BP p.l.c.,1.69,6.04,53,45,54,Energy,Oil & Gas Integrated
ZFSVF,Zurich Insurance Group AG,0.0,-5.5,5,11,28,Financial Services,Insurance - Diversified
CEG,Constellation Energy Corporation,-3.94,1.91,25,20,18,Utilities,Electric Utilities: Central
HWM,Howmet Aerospace Inc.,1.22,4.94,64,58,81,Industrials,Metal Fabrications
BAMGF,Brookfield Corporation,0.0,0.0,10,3,58,Financial Services,Asset Management
FTNT,"Fortinet, Inc.",1.39,-0.06,25,31,94,Technology,Computer peripheral equipment
CME,CME Group Inc.,1.37,14.39,67,53,23,Finance,Investment Bankers/Brokers/Service
FDX,FedEx Corporation,-0.94,4.18,74,74,83,Consumer Discretionary,Air Freight/Delivery Services
SHECY,"Shin-Etsu Chemical Co., Ltd.",-2.61,-13.03,31,24,47,Basic Materials,Chemicals
AXAHY,AXA SA,0.02,0.98,24,21,59,Financial Services,Insurance - Diversified
MDT,Medtronic plc,1.64,11.83,100,76,47,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CHDRF,Christian Dior SE,0.0,4.67,96,74,27,Consumer Cyclical,Luxury Goods
ESLOY,EssilorLuxottica Société anonyme,2.6,0.24,35,33,6,Healthcare,Medical Instruments & Supplies
ITOCF,ITOCHU Corporation,-6.69,1.01,4,11,3,Industrials,Conglomerates
MITSY,"Mitsui & Co., Ltd.",0.47,1.48,28,24,32,Industrials,Conglomerates
SBKFF,State Bank of India,0.0,-0.2,11,15,37,Financial Services,Banks - Regional
INGVF,ING Groep N.V.,0.0,3.72,68,55,81,Financial Services,Banks - Diversified
AEM,Agnico Eagle Mines Limited,-0.97,32.0,99,100,52,Basic Materials,Precious Metals
UPS,"United Parcel Service, Inc.",-0.09,-10.99,4,9,50,Industrials,Trucking Freight/Courier Services
PROSF,Prosus N.V.,-3.08,-1.13,30,24,11,Consumer Cyclical,Internet Retail
ATLPF,Atlas Copco AB (publ),3.93,10.25,100,90,86,Industrials,Specialty Industrial Machinery
ATLCY,Atlas Copco AB (publ),-2.63,2.94,0,0,65,Industrials,Specialty Industrial Machinery
CMI,Cummins Inc.,-3.17,-6.0,0,2,62,Industrials,Industrial Machinery/Components
MGCLY,MGCLY,0.74,1.33,16,19,58,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
ADP,"Automatic Data Processing, Inc.",1.22,9.38,52,45,60,Industrials,Diversified Commercial Services
ING,ING Groep N.V.,-0.39,8.58,92,76,82,Finance,Commercial Banks
BCMXY,"Bank of Communications Co., Ltd.",0.0,20.63,98,97,65,Financial Services,Banks - Diversified
AMT,American Tower Corporation,0.06,5.47,23,16,22,Real Estate,Real Estate Investment Trusts
SNPMF,China Petroleum & Chemical Corporation,0.0,-6.78,37,34,23,Energy,Oil & Gas Integrated
MNST,Monster Beverage Corporation,4.09,-50.36,4,4,3,Consumer Staples,Beverages (Production/Distribution)
NET,"Cloudflare, Inc.",-1.84,10.67,54,56,89,Technology,Computer Software: Prepackaged Software
USB,U.S. Bancorp,-0.12,1.7,41,27,79,Finance,Major Banks
WM,"Waste Management, Inc.",-0.2,-4.12,9,10,36,Utilities,Environmental Services
BCLYF,Barclays PLC,-1.32,-2.32,4,3,71,Financial Services,Banks - Diversified
AMXOF,"América Móvil, S.A.B. de C.V.",0.0,-11.94,6,2,84,Communication Services,Telecom Services
OVCHY,Oversea-Chinese Banking Corporation Limited,-0.09,10.78,100,100,92,Financial Services,Banks - Regional
NABZY,National Australia Bank Limited,-0.36,1.02,3,11,38,Financial Services,Banks - Diversified
CHGCY,"Chugai Pharmaceutical Co., Ltd.",0.09,-4.87,24,24,13,Healthcare,Drug Manufacturers - General
NXPI,NXP Semiconductors N.V.,-1.79,-16.32,2,2,21,Technology,Semiconductors
LLDTF,Lloyds Banking Group plc,0.0,14.29,84,82,78,Financial Services,Banks - Regional
