ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,-0.03,-3.0,49,43,64,Technology,Semiconductors
AAPL,Apple Inc,1.75,8.85,100,100,77,Technology,Computer Manufacturing
AVGO,Broadcom Inc,0.32,-13.36,25,22,28,Technology,Semiconductors
META,Meta Platforms Inc,0.57,8.92,94,96,42,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,2.49,6.86,91,94,97,Technology,Semiconductors
ASMLF,ASML Holding N.V.,0.27,-8.26,26,24,85,Technology,Semiconductor Equipment & Materials
XOM,ExxonMobil Holdings Corporation,0.46,5.33,94,91,79,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,2.4,-0.83,22,21,9,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,0.68,0.38,29,33,57,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,0.07,-11.51,20,16,92,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,0.83,-6.58,0,0,58,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,0.61,9.22,97,97,79,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",0.55,-14.51,26,25,92,Technology,Semiconductors
KO,The Coca-Cola Company,0.52,1.0,37,39,69,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,-0.83,-4.94,0,0,56,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,0.0,-5.02,0,0,51,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,0.49,9.07,74,71,64,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,-0.64,-4.08,13,9,10,Consumer Cyclical,Internet Retail
CYATY,"Contemporary Amperex Technology Co., Limited",-1.53,-16.3,0,0,13,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,0.0,10.54,93,93,74,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,-4.84,-0.84,49,47,66,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,0.65,20.19,98,99,20,Communication Services,Telecom Services
NVS,Novartis AG,-0.23,-9.6,0,0,29,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,2.07,20.61,98,100,87,Communication Services,Telecom Services
NVSEF,Novartis AG,-0.13,-12.75,0,0,35,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,1.7,14.39,100,95,81,Financial Services,Banks - Diversified
KLAC,KLA Corporation,1.95,-13.62,30,29,77,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,3.18,4.98,93,85,38,Consumer Cyclical,Auto Manufacturers
LRLCF,L'Oréal S.A.,4.07,1.58,59,57,37,Consumer Defensive,Household & Personal Products
SMAWF,Siemens Aktiengesellschaft,1.11,-6.0,2,2,53,Industrials,Specialty Industrial Machinery
PANW,"Palo Alto Networks, Inc.",-2.32,-16.5,5,0,92,Technology,Computer peripheral equipment
