ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,-2.26,-2.45,59,53,66,Technology,Semiconductors
AAPL,Apple Inc,3.56,8.05,100,100,74,Technology,Computer Manufacturing
AVGO,Broadcom Inc,-0.97,-13.27,19,16,34,Technology,Semiconductors
META,Meta Platforms Inc,-1.42,11.32,95,98,37,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,-3.36,4.28,80,82,97,Technology,Semiconductors
ASMLF,ASML Holding N.V.,-3.13,-6.94,31,29,87,Technology,Semiconductor Equipment & Materials
XOM,ExxonMobil Holdings Corporation,0.61,4.1,100,97,79,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,-1.88,-4.19,0,1,8,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,-0.38,1.01,32,35,54,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,-5.65,-8.62,24,22,93,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,-2.16,-3.03,0,0,59,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,-0.49,9.16,100,100,78,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",-3.17,-17.09,28,27,92,Technology,Semiconductors
KO,The Coca-Cola Company,0.32,1.29,43,43,67,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,-0.36,-5.88,7,7,58,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,-3.78,-5.02,1,6,48,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,1.25,10.13,77,73,66,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,1.21,-13.63,21,17,9,Consumer Cyclical,Internet Retail
CYATY,"Contemporary Amperex Technology Co., Limited",-1.56,-15.13,0,1,15,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,1.35,11.38,100,100,76,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,1.64,7.83,100,100,74,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,-0.94,22.83,99,100,27,Communication Services,Telecom Services
NVS,Novartis AG,0.0,-9.74,5,6,32,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,-2.35,21.48,94,95,88,Communication Services,Telecom Services
NVSEF,Novartis AG,-0.4,-12.63,1,3,33,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,0.86,14.18,95,90,80,Financial Services,Banks - Diversified
KLAC,KLA Corporation,-3.13,-14.82,22,20,78,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,0.31,1.11,60,58,35,Consumer Cyclical,Auto Manufacturers
LRLCF,L'Oréal S.A.,-5.92,-5.94,5,12,30,Consumer Defensive,Household & Personal Products
SMAWF,Siemens Aktiengesellschaft,-4.78,-8.18,0,0,48,Industrials,Specialty Industrial Machinery
PANW,"Palo Alto Networks, Inc.",1.01,-12.54,22,19,94,Technology,Computer peripheral equipment
BHP,BHP Group Limited,-5.31,-0.96,35,36,84,Energy,Coal Mining
AXP,American Express Company,-0.34,-6.79,6,12,35,Finance,Finance: Consumer Services
SAP,SAP SE,-1.53,0.88,19,24,41,Technology,Computer Software: Prepackaged Software
APP,AppLovin Corporation,3.09,3.53,92,78,2,Technology,Computer Software: Programming Data Processing
ADI,"Analog Devices, Inc.",-1.05,-5.74,37,36,65,Technology,Semiconductors
HESAF,Hermès International Société en commandite par actions,0.54,-11.27,10,12,7,Consumer Cyclical,Luxury Goods
CMWAY,Commonwealth Bank of Australia,-2.07,-9.06,0,0,36,Financial Services,Banks - Diversified
PEP,"PepsiCo, Inc.",-0.03,-0.43,31,36,25,Consumer Staples,Beverages (Production/Distribution)
IDEXF,"Industria de Diseño Textil, S.A.",2.39,-4.43,25,25,51,Consumer Cyclical,Apparel Retail
ABLZF,ABB Ltd,-0.77,-4.18,65,67,68,Industrials,Electrical Equipment & Parts
RIO,Rio Tinto Group,-4.19,0.35,49,48,78,Basic Materials,Metal Mining
TMO,Thermo Fisher Scientific Inc.,-0.41,0.03,55,55,73,Industrials,Industrial Machinery/Components
AMGN,Amgen Inc.,-2.25,-7.56,0,0,69,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RTPPF,Rio Tinto Group,-6.24,-1.23,41,41,75,Basic Materials,Other Industrial Metals & Mining
DIS,The Walt Disney Company,1.57,2.52,50,51,40,Consumer Discretionary,Services-Misc. Amusement & Recreation
TJX,"The TJX Companies, Inc.",0.24,-16.9,4,7,10,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ALIZY,Allianz SE,0.51,0.95,60,57,75,Financial Services,Insurance - Diversified
EADSY,Airbus SE,-0.56,-7.9,10,7,52,Industrials,Aerospace & Defense
SMEGF,Siemens Energy AG,-1.36,-10.57,29,28,64,Industrials,Specialty Industrial Machinery
DTEGY,Deutsche Telekom AG,0.56,0.37,26,29,29,Communication Services,Telecom Services
FRCOF,"Fast Retailing Co., Ltd.",-2.01,-16.61,14,14,54,Consumer Cyclical,Apparel Retail
GLW,Corning Incorporated,-3.17,-2.4,76,80,91,Industrials,Telecommunications Equipment
SHOP,Shopify Inc.,-0.15,-15.83,2,4,35,Technology,Computer Software: Prepackaged Software
IBDSF,"Iberdrola, S.A.",-1.07,-2.07,66,58,52,Utilities,Utilities - Diversified
RYCEY,Rolls-Royce Holdings plc,-1.48,-7.75,0,0,72,Industrials,Aerospace & Defense
TOELY,Tokyo Electron Limited,-2.31,-10.84,6,0,88,Technology,Semiconductor Equipment & Materials
SAFRY,Safran SA,-0.42,-10.99,2,7,54,Industrials,Aerospace & Defense
HTHIY,"Hitachi, Ltd.",-0.42,-7.67,26,25,61,Industrials,Conglomerates
