ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,2.95,-5.61,27,5,71,Technology,Semiconductors
AAPL,Apple Inc,0.7,-1.4,23,11,71,Technology,Computer Manufacturing
AVGO,Broadcom Inc,4.7,-1.53,36,30,77,Technology,Semiconductors
META,Meta Platforms Inc,1.7,-4.51,9,0,17,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,4.86,20.06,94,91,97,Technology,Semiconductors
ASMLF,ASML Holding N.V.,1.96,25.12,100,97,92,Technology,Semiconductor Equipment & Materials
XOM,Exxon Mobil Corporation,-2.08,-11.82,0,0,49,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,-0.37,-4.21,25,13,10,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,-0.65,-1.66,59,39,22,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,3.97,33.29,100,100,96,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,-1.65,-6.33,0,0,11,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,-2.22,-9.25,0,0,43,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",4.08,44.75,100,100,96,Technology,Semiconductors
KO,The Coca-Cola Company,-0.68,-2.02,38,25,55,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,-2.59,-4.24,26,16,54,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,1.49,-3.56,14,3,49,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,-2.9,-7.05,12,0,47,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,7.27,-13.43,22,15,15,Consumer Cyclical,Internet Retail
CYATY,CYATY,0.04,5.91,45,38,57,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,-0.32,-1.84,31,15,50,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,0.0,-8.7,17,13,48,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,4.52,29.88,34,26,59,Communication Services,Telecom Services
NVS,Novartis AG,-2.52,-2.24,38,28,56,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,7.09,31.89,39,32,94,Communication Services,Telecom Services
NVSEF,Novartis AG,0.0,1.65,34,17,46,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,-0.12,0.84,35,16,61,Financial Services,Banks - Diversified
KLAC,KLA Corporation,8.73,41.88,100,97,95,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,-1.52,-9.79,0,0,18,Consumer Cyclical,Auto Manufacturers
LRLCF,L'Oréal S.A.,2.74,9.04,64,44,51,Consumer Defensive,Household & Personal Products
SMAWF,Siemens Aktiengesellschaft,4.14,9.3,100,81,69,Industrials,Specialty Industrial Machinery
PANW,"Palo Alto Networks, Inc.",2.0,16.67,82,75,87,Technology,Computer peripheral equipment
BHP,BHP Group Limited,-2.76,5.17,47,18,87,Energy,Coal Mining
AXP,American Express Company,-0.75,9.1,87,78,47,Finance,Finance: Consumer Services
SAP,SAP SE,-2.25,-13.71,0,0,5,Technology,Computer Software: Prepackaged Software
APP,AppLovin Corporation,-2.04,-2.61,0,0,31,Technology,Computer Software: Programming Data Processing
ADI,"Analog Devices, Inc.",4.83,9.45,100,97,88,Technology,Semiconductors
HESAF,Hermès International Société en commandite par actions,-0.58,5.38,74,64,16,Consumer Cyclical,Luxury Goods
CMWAY,Commonwealth Bank of Australia,-0.43,-3.1,22,11,32,Financial Services,Banks - Diversified
PEP,"PepsiCo, Inc.",0.3,-3.87,33,17,34,Consumer Staples,Beverages (Production/Distribution)
IDEXF,"Industria de Diseño Textil, S.A.",-0.19,12.04,77,63,61,Consumer Cyclical,Apparel Retail
ABLZF,ABB Ltd,0.78,7.83,83,56,86,Industrials,Electrical Equipment & Parts
RIO,Rio Tinto Group,-2.52,-3.13,0,0,83,Basic Materials,Metal Mining
TMO,Thermo Fisher Scientific Inc.,0.63,2.94,33,17,33,Industrials,Industrial Machinery/Components
AMGN,Amgen Inc.,-1.19,1.82,39,28,49,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RTPPF,Rio Tinto Group,-2.81,-2.78,0,0,82,Basic Materials,Other Industrial Metals & Mining
DIS,The Walt Disney Company,3.0,-0.18,92,59,28,Consumer Discretionary,Services-Misc. Amusement & Recreation
TJX,"The TJX Companies, Inc.",-0.19,2.89,59,43,58,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ALIZY,Allianz SE,-0.24,2.07,85,72,60,Financial Services,Insurance - Diversified
EADSY,Airbus SE,2.86,9.02,100,100,52,Industrials,Aerospace & Defense
SMEGF,Siemens Energy AG,3.62,-3.05,64,54,84,Industrials,Specialty Industrial Machinery
DTEGY,Deutsche Telekom AG,-0.39,-8.89,0,0,22,Communication Services,Telecom Services
FRCOF,"Fast Retailing Co., Ltd.",1.4,9.72,63,51,82,Consumer Cyclical,Apparel Retail
GLW,Corning Incorporated,11.13,8.04,83,79,95,Industrials,Telecommunications Equipment
SHOP,Shopify Inc.,0.7,3.66,28,15,14,Technology,Computer Software: Prepackaged Software
IBDSF,"Iberdrola, S.A.",1.01,6.25,96,65,62,Utilities,Utilities - Diversified
RYCEY,Rolls-Royce Holdings plc,1.74,13.56,100,93,73,Industrials,Aerospace & Defense
TOELY,Tokyo Electron Limited,6.27,62.93,100,100,96,Technology,Semiconductor Equipment & Materials
SAFRY,Safran SA,2.77,16.76,100,100,62,Industrials,Aerospace & Defense
HTHIY,"Hitachi, Ltd.",1.83,-5.2,23,16,38,Industrials,Conglomerates
WELL,Welltower Inc.,0.05,-5.47,55,40,59,Real Estate,Real Estate Investment Trusts
UBER,"Uber Technologies, Inc.",1.03,-3.97,46,18,18,Consumer Discretionary,Business Services
CIHHF,"China Merchants Bank Co., Ltd.",0.0,-12.58,0,0,24,Financial Services,Banks - Regional
DBSDY,DBS Group Holdings Ltd,1.22,6.01,100,76,73,Financial Services,Banks - Regional
COP,ConocoPhillips,-3.12,-11.95,0,0,43,Energy,Integrated oil Companies
PLDGP,"Prologis, Inc.",-2.01,0.5,26,4,34,Real Estate,REIT - Industrial
BBVXF,"Banco Bilbao Vizcaya Argentaria, S.A.",-1.91,9.0,73,59,73,Financial Services,Banks - Diversified
BTAFF,British American Tobacco p.l.c.,-3.44,-15.8,0,0,46,Consumer Defensive,Tobacco
BKNG,Booking Holdings Inc.,0.09,9.72,76,56,18,Consumer Discretionary,Transportation Services
NOW,"ServiceNow, Inc.",-0.46,-8.0,0,0,4,Technology,Computer Software: Prepackaged Software
CFRUY,Compagnie Financière Richemont SA,2.36,14.75,100,91,72,Consumer Cyclical,Luxury Goods
IFNNF,Infineon Technologies AG,4.9,19.19,57,50,94,Technology,Semiconductors
IFNNY,Infineon Technologies AG,8.72,19.19,71,65,95,Technology,Semiconductors
