ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,-0.66,-2.6,43,56,60,Technology,Semiconductors
AAPL,Apple Inc,0.9,8.83,100,94,77,Technology,Computer Manufacturing
AVGO,Broadcom Inc,3.2,2.44,75,99,73,Technology,Semiconductors
META,Meta Platforms Inc,4.7,8.12,100,100,30,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,5.66,14.98,67,76,97,Technology,Semiconductors
ASMLF,ASML Holding N.V.,0.43,6.89,23,19,90,Technology,Semiconductor Equipment & Materials
XOM,ExxonMobil Holdings Corporation,-2.6,-7.69,5,14,51,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,-0.6,3.79,68,69,14,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,0.81,5.82,63,68,31,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,6.01,8.03,23,22,95,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,-2.41,-2.29,76,72,15,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,-1.09,-6.81,24,32,47,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",3.18,17.92,34,37,95,Technology,Semiconductors
KO,The Coca-Cola Company,-0.92,2.24,43,55,66,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,0.5,3.56,61,68,59,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,0.0,2.77,36,53,52,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,-2.56,-4.17,24,30,39,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,5.4,-8.64,49,47,13,Consumer Cyclical,Internet Retail
CYATY,CYATY,2.01,-8.0,6,2,40,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,-1.86,-4.09,23,33,42,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,-0.98,-4.61,0,9,43,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,8.35,-10.84,20,21,38,Communication Services,Telecom Services
NVS,Novartis AG,-0.35,3.69,49,59,59,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,3.2,-8.32,20,20,87,Communication Services,Telecom Services
NVSEF,Novartis AG,0.0,10.44,93,87,65,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,-1.3,-4.69,27,33,55,Financial Services,Banks - Diversified
KLAC,KLA Corporation,3.77,7.28,14,12,93,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,-0.34,0.46,48,54,18,Consumer Cyclical,Auto Manufacturers
LRLCF,L'Oréal S.A.,-3.23,-3.84,0,0,36,Consumer Defensive,Household & Personal Products
SMAWF,Siemens Aktiengesellschaft,3.75,1.65,32,42,60,Industrials,Specialty Industrial Machinery
PANW,"Palo Alto Networks, Inc.",5.53,29.86,77,77,93,Technology,Computer peripheral equipment
BHP,BHP Group Limited,2.06,-5.69,7,3,77,Energy,Coal Mining
AXP,American Express Company,3.07,9.2,70,71,46,Finance,Finance: Consumer Services
SAP,SAP SE,0.66,-11.44,29,38,7,Technology,Computer Software: Prepackaged Software
APP,AppLovin Corporation,-0.34,-0.08,57,62,67,Technology,Computer Software: Programming Data Processing
ADI,"Analog Devices, Inc.",2.14,-2.71,19,20,83,Technology,Semiconductors
HESAF,Hermès International Société en commandite par actions,-0.25,-5.68,0,13,10,Consumer Cyclical,Luxury Goods
CMWAY,Commonwealth Bank of Australia,0.65,4.58,96,86,38,Financial Services,Banks - Diversified
PEP,"PepsiCo, Inc.",-3.26,-3.45,11,28,31,Consumer Staples,Beverages (Production/Distribution)
IDEXF,"Industria de Diseño Textil, S.A.",2.67,-2.28,21,37,52,Consumer Cyclical,Apparel Retail
ABLZF,ABB Ltd,0.47,1.05,26,45,83,Industrials,Electrical Equipment & Parts
RIO,Rio Tinto Group,0.78,-11.76,0,0,66,Basic Materials,Metal Mining
TMO,Thermo Fisher Scientific Inc.,2.86,6.31,93,91,41,Industrials,Industrial Machinery/Components
AMGN,Amgen Inc.,-1.19,5.53,63,68,62,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RTPPF,Rio Tinto Group,0.0,-6.64,0,13,74,Basic Materials,Other Industrial Metals & Mining
DIS,The Walt Disney Company,-0.55,-2.44,0,17,21,Consumer Discretionary,Services-Misc. Amusement & Recreation
TJX,"The TJX Companies, Inc.",-1.24,-8.47,0,8,41,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ALIZY,Allianz SE,0.96,10.4,93,81,64,Financial Services,Insurance - Diversified
EADSY,Airbus SE,-0.27,10.56,52,54,45,Industrials,Aerospace & Defense
