ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,-3.62,9.29,16,6,73,Technology,Semiconductors
AAPL,Apple Inc,-1.57,9.28,85,33,73,Technology,Computer Manufacturing
AVGO,Broadcom Inc,-0.49,12.14,100,98,87,Technology,Semiconductors
META,Meta Platforms Inc,4.24,2.98,66,42,25,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,4.02,52.71,100,100,97,Technology,Semiconductors
ASMLF,ASML Holding N.V.,2.39,19.8,100,100,90,Technology,Semiconductor Equipment & Materials
XOM,Exxon Mobil Corporation,1.99,-0.85,35,23,72,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,-2.24,-5.56,49,34,15,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,-1.28,-5.14,0,0,17,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,2.78,24.62,100,100,96,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,-6.55,4.63,36,27,27,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,1.15,-0.62,37,23,67,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",2.19,22.05,100,100,94,Technology,Semiconductors
KO,The Coca-Cola Company,0.45,0.36,14,6,52,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,-0.14,-3.62,5,1,47,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,-2.5,-2.92,0,0,45,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,-0.43,-1.44,29,14,59,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,2.08,0.74,45,39,38,Consumer Cyclical,Internet Retail
CYATY,CYATY,0.2,16.28,100,100,72,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,-1.49,-2.94,13,3,56,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,-5.5,-0.96,0,0,46,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,-4.99,43.53,75,72,72,Communication Services,Telecom Services
NVS,Novartis AG,0.13,-1.26,10,3,51,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,-4.31,43.17,78,76,95,Communication Services,Telecom Services
NVSEF,Novartis AG,0.0,0.1,12,3,48,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,-0.65,3.92,42,12,64,Financial Services,Banks - Diversified
KLAC,KLA Corporation,3.91,22.79,100,100,93,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,-1.24,-3.69,0,0,23,Consumer Cyclical,Auto Manufacturers
LRLCF,L'Oréal S.A.,-1.29,-2.17,21,0,35,Consumer Defensive,Household & Personal Products
SMAWF,Siemens Aktiengesellschaft,2.42,5.44,75,36,69,Industrials,Specialty Industrial Machinery
PANW,"Palo Alto Networks, Inc.",-5.64,52.42,83,80,87,Technology,Computer peripheral equipment
BHP,BHP Group Limited,-2.47,14.65,80,52,85,Energy,Coal Mining
AXP,American Express Company,-3.34,-4.87,0,0,28,Finance,Finance: Consumer Services
SAP,SAP SE,-5.32,4.8,55,45,10,Technology,Computer Software: Prepackaged Software
APP,AppLovin Corporation,-5.75,19.39,73,68,65,Technology,Computer Software: Programming Data Processing
ADI,"Analog Devices, Inc.",3.42,8.42,99,77,88,Technology,Semiconductors
HESAF,Hermès International Société en commandite par actions,-3.24,-2.82,0,0,7,Consumer Cyclical,Luxury Goods
CMWAY,Commonwealth Bank of Australia,-0.62,-6.15,21,7,45,Financial Services,Banks - Diversified
PEP,"PepsiCo, Inc.",0.38,-8.06,9,4,31,Consumer Staples,Beverages (Production/Distribution)
IDEXF,"Industria de Diseño Textil, S.A.",3.39,2.45,57,34,57,Consumer Cyclical,Apparel Retail
ABLZF,ABB Ltd,-1.13,2.94,41,10,84,Industrials,Electrical Equipment & Parts
RIO,Rio Tinto Group,-3.41,7.32,41,8,85,Basic Materials,Metal Mining
TMO,Thermo Fisher Scientific Inc.,-1.69,1.54,61,34,31,Industrials,Industrial Machinery/Components
AMGN,Amgen Inc.,3.03,3.39,71,44,45,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RTPPF,Rio Tinto Group,0.0,11.92,59,37,86,Basic Materials,Other Industrial Metals & Mining
DIS,The Walt Disney Company,-1.99,-1.08,0,0,25,Consumer Discretionary,Services-Misc. Amusement & Recreation
TJX,"The TJX Companies, Inc.",2.74,2.23,70,40,52,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ALIZY,Allianz SE,-2.2,0.05,0,0,50,Financial Services,Insurance - Diversified
EADSY,Airbus SE,-2.42,-6.23,0,0,31,Industrials,Aerospace & Defense
SMEGF,Siemens Energy AG,1.33,-13.19,9,6,81,Industrials,Specialty Industrial Machinery
DTEGY,Deutsche Telekom AG,-3.34,1.66,0,0,24,Communication Services,Telecom Services
FRCOF,"Fast Retailing Co., Ltd.",-7.2,-0.16,48,39,76,Consumer Cyclical,Apparel Retail
GLW,Corning Incorporated,0.18,24.04,70,61,95,Industrials,Telecommunications Equipment
SHOP,Shopify Inc.,-3.48,4.93,60,54,19,Technology,Computer Software: Prepackaged Software
IBDSF,"Iberdrola, S.A.",-0.18,-1.53,21,4,58,Utilities,Utilities - Diversified
RYCEY,Rolls-Royce Holdings plc,-1.69,3.11,57,33,59,Industrials,Aerospace & Defense
TOELY,Tokyo Electron Limited,8.63,17.23,100,100,92,Technology,Semiconductor Equipment & Materials
SAFRY,Safran SA,-1.13,7.85,60,32,38,Industrials,Aerospace & Defense
HTHIY,"Hitachi, Ltd.",2.02,6.1,95,61,55,Industrials,Conglomerates
WELL,Welltower Inc.,2.17,-6.55,19,13,53,Real Estate,Real Estate Investment Trusts
UBER,"Uber Technologies, Inc.",0.1,-1.73,13,5,18,Consumer Discretionary,Business Services
CIHHF,"China Merchants Bank Co., Ltd.",0.0,-3.74,5,2,33,Financial Services,Banks - Regional
DBSDY,DBS Group Holdings Ltd,-0.38,11.51,100,89,75,Financial Services,Banks - Regional
COP,ConocoPhillips,1.87,-2.75,36,23,69,Energy,Integrated oil Companies
PLDGP,"Prologis, Inc.",-0.19,0.28,20,1,42,Real Estate,REIT - Industrial
BBVXF,"Banco Bilbao Vizcaya Argentaria, S.A.",-4.8,1.71,42,23,68,Financial Services,Banks - Diversified
BTAFF,British American Tobacco p.l.c.,-3.51,-4.78,0,0,52,Consumer Defensive,Tobacco
BKNG,Booking Holdings Inc.,-1.45,-1.7,43,21,17,Consumer Discretionary,Transportation Services
NOW,"ServiceNow, Inc.",-7.64,28.14,63,60,12,Technology,Computer Software: Prepackaged Software
