ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,7.6,15.66,100,100,63,Technology,Semiconductors
AAPL,Apple Inc,0.0,-5.91,72,60,59,Technology,Computer Manufacturing
AVGO,Broadcom Inc,3.44,-5.16,15,13,36,Technology,Semiconductors
META,Meta Platforms Inc,-0.67,6.17,49,45,14,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,-0.92,-1.83,27,23,96,Technology,Semiconductors
ASMLF,ASML Holding N.V.,-0.69,4.88,25,26,89,Technology,Semiconductor Equipment & Materials
XOM,ExxonMobil Holdings Corporation,-0.95,0.46,35,34,71,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,-2.03,-9.22,7,11,11,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,-1.16,2.46,71,67,58,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,1.0,6.14,38,37,94,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,3.92,50.87,100,100,75,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,-1.11,3.85,58,58,68,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",-1.08,-5.32,0,0,94,Technology,Semiconductors
KO,The Coca-Cola Company,-0.33,1.46,52,52,69,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,-0.84,2.06,49,51,63,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,-2.71,4.34,74,74,58,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,-0.55,-4.2,65,59,59,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,0.79,2.24,39,44,12,Consumer Cyclical,Internet Retail
CYATY,"Contemporary Amperex Technology Co., Limited",-1.07,-2.01,0,0,20,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,-2.0,-3.68,42,41,60,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,2.68,5.5,45,44,59,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,2.14,3.12,27,23,3,Communication Services,Telecom Services
NVS,Novartis AG,-1.36,-1.92,50,48,54,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,1.04,6.93,27,22,34,Communication Services,Telecom Services
NVSEF,Novartis AG,0.0,3.2,97,94,63,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,-1.14,-1.14,61,55,65,Financial Services,Banks - Diversified
KLAC,KLA Corporation,-0.54,1.5,0,0,84,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,0.84,0.84,47,50,25,Consumer Cyclical,Auto Manufacturers
LRLCF,L'Oréal S.A.,0.54,4.0,38,42,34,Consumer Defensive,Household & Personal Products
SMAWF,Siemens Aktiengesellschaft,0.29,8.45,100,96,61,Industrials,Specialty Industrial Machinery
