ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,-3.36,-6.2,17,12,60,Technology,Semiconductors
AAPL,Apple Inc,0.24,8.87,100,100,80,Technology,Computer Manufacturing
AVGO,Broadcom Inc,-4.77,-12.28,0,0,24,Technology,Semiconductors
META,Meta Platforms Inc,2.71,12.84,100,100,52,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,-4.4,-4.08,63,65,97,Technology,Semiconductors
ASMLF,ASML Holding N.V.,-6.21,-13.78,0,0,80,Technology,Semiconductor Equipment & Materials
XOM,ExxonMobil Holdings Corporation,-0.55,3.78,93,94,79,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,-2.18,-5.31,0,1,9,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,0.92,0.9,47,50,59,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,-8.29,-17.71,0,0,87,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,3.64,-0.42,37,40,68,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,-0.88,7.01,91,96,78,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",-7.07,-16.27,0,0,87,Technology,Semiconductors
KO,The Coca-Cola Company,1.2,1.87,61,62,73,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,3.89,0.51,41,41,64,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,0.23,-2.18,6,9,52,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,0.74,10.05,82,80,64,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,5.57,-9.61,42,41,14,Consumer Cyclical,Internet Retail
CYATY,"Contemporary Amperex Technology Co., Limited",0.52,-14.47,5,7,14,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,2.22,13.19,100,100,78,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,0.85,3.48,60,61,70,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,-14.56,1.29,48,49,8,Communication Services,Telecom Services
NVS,Novartis AG,1.33,-7.88,10,12,33,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,-15.15,2.34,46,47,67,Communication Services,Telecom Services
NVSEF,Novartis AG,-2.19,-14.66,0,0,29,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,1.1,15.64,100,100,82,Financial Services,Banks - Diversified
KLAC,KLA Corporation,-6.39,-16.91,0,0,63,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,2.83,8.01,100,100,48,Consumer Cyclical,Auto Manufacturers
LRLCF,L'Oréal S.A.,-2.37,-0.92,25,33,36,Consumer Defensive,Household & Personal Products
SMAWF,Siemens Aktiengesellschaft,-0.75,-8.74,0,2,54,Industrials,Specialty Industrial Machinery
PANW,"Palo Alto Networks, Inc.",13.09,-2.69,90,92,96,Technology,Computer peripheral equipment
BHP,BHP Group Limited,-2.77,-0.22,0,6,79,Energy,Coal Mining
AXP,American Express Company,0.95,-4.29,44,46,36,Finance,Finance: Consumer Services
SAP,SAP SE,5.78,4.96,94,93,61,Technology,Computer Software: Prepackaged Software
