ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,-1.39,-9.17,0,16,53,Technology,Semiconductors
AAPL,Apple Inc,4.84,-0.53,92,94,72,Technology,Computer Manufacturing
AVGO,Broadcom Inc,-2.41,-24.67,0,0,60,Technology,Semiconductors
META,Meta Platforms Inc,-4.9,-6.35,48,67,20,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,-4.26,-4.55,46,54,97,Technology,Semiconductors
ASMLF,ASML Holding N.V.,-3.51,1.89,37,45,90,Technology,Semiconductor Equipment & Materials
XOM,ExxonMobil Holdings Corporation,0.59,-10.12,5,21,48,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,-0.89,-5.07,21,31,10,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,3.24,14.39,100,100,35,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,-10.19,2.31,36,40,96,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,2.84,-9.07,66,74,13,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,2.12,-10.81,13,25,40,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",-7.35,20.42,55,60,96,Technology,Semiconductors
KO,The Coca-Cola Company,3.51,7.52,87,89,64,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,5.41,8.24,100,100,60,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,3.1,5.42,100,100,53,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,-0.82,-9.07,0,16,30,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,0.17,-23.93,18,23,9,Consumer Cyclical,Internet Retail
CYATY,CYATY,-4.72,-12.91,0,11,49,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,0.0,-5.32,5,24,35,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,0.0,1.94,7,28,41,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,3.3,-28.44,12,18,41,Communication Services,Telecom Services
NVS,Novartis AG,3.74,11.3,100,100,62,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,4.18,-29.58,13,20,87,Communication Services,Telecom Services
NVSEF,Novartis AG,3.17,9.78,100,100,58,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,-1.47,-6.01,0,15,44,Financial Services,Banks - Diversified
KLAC,KLA Corporation,-11.51,10.84,38,42,94,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,1.3,-5.91,20,42,16,Consumer Cyclical,Auto Manufacturers
LRLCF,L'Oréal S.A.,1.93,2.76,35,47,43,Consumer Defensive,Household & Personal Products
SMAWF,Siemens Aktiengesellschaft,2.11,-1.42,69,97,67,Industrials,Specialty Industrial Machinery
PANW,"Palo Alto Networks, Inc.",-1.13,24.12,96,100,94,Technology,Computer peripheral equipment
BHP,BHP Group Limited,1.35,-8.28,13,29,82,Energy,Coal Mining
AXP,American Express Company,1.41,17.42,100,100,50,Finance,Finance: Consumer Services
SAP,SAP SE,2.16,-10.01,35,43,7,Technology,Computer Software: Prepackaged Software
APP,AppLovin Corporation,-6.65,-7.67,64,69,59,Technology,Computer Software: Programming Data Processing
ADI,"Analog Devices, Inc.",-3.04,-13.83,0,0,82,Technology,Semiconductors
HESAF,Hermès International Société en commandite par actions,1.81,2.46,15,35,12,Consumer Cyclical,Luxury Goods
CMWAY,Commonwealth Bank of Australia,2.06,-3.96,43,66,31,Financial Services,Banks - Diversified
PEP,"PepsiCo, Inc.",2.17,2.24,68,76,36,Consumer Staples,Beverages (Production/Distribution)
IDEXF,"Industria de Diseño Textil, S.A.",-0.42,2.96,36,66,55,Consumer Cyclical,Apparel Retail
ABLZF,ABB Ltd,-0.66,-0.62,46,76,86,Industrials,Electrical Equipment & Parts
RIO,Rio Tinto Group,1.15,-12.46,9,22,74,Basic Materials,Metal Mining
TMO,Thermo Fisher Scientific Inc.,1.97,10.55,99,100,46,Industrials,Industrial Machinery/Components
AMGN,Amgen Inc.,3.55,10.62,100,100,65,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RTPPF,Rio Tinto Group,0.0,-13.42,2,19,76,Basic Materials,Other Industrial Metals & Mining
DIS,The Walt Disney Company,3.96,0.88,45,67,24,Consumer Discretionary,Services-Misc. Amusement & Recreation
TJX,"The TJX Companies, Inc.",1.92,-2.31,15,30,42,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ALIZY,Allianz SE,1.72,12.13,100,100,62,Financial Services,Insurance - Diversified
EADSY,Airbus SE,3.76,19.94,100,100,57,Industrials,Aerospace & Defense
