GOOG
UNH
BABA
APP
RIOT
RDDT
AAPL
TEM
RGTI
AMZN
TSLA
NFLX
OKLO
AVGO
MSFT
META
HOOD
PLTR
NVDA
AMD
SMCI
COIN
HIMS
MSTR
MU
TSM
LLY
WMT
ORCL
ASML
V
XOM
INTC
JNJ
CSCO
MA
COST
CAT
LRCX
ABBV
ARM
DELL
AMAT
QCOM
SNDK
