ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,8.74,16.89,100,100,65,Technology,Semiconductors
AAPL,Apple Inc,0.36,-5.57,76,61,59,Technology,Computer Manufacturing
AVGO,Broadcom Inc,4.49,-4.2,20,17,38,Technology,Semiconductors
META,Meta Platforms Inc,-0.87,5.95,46,40,14,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,-0.89,-1.8,27,21,96,Technology,Semiconductors
ASMLF,ASML Holding N.V.,0.05,5.65,31,31,90,Technology,Semiconductor Equipment & Materials
XOM,ExxonMobil Holdings Corporation,-1.11,0.31,32,29,70,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,-0.3,-7.62,18,19,12,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,-1.13,2.49,70,64,59,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,1.82,7.01,43,42,94,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,4.75,52.08,100,100,76,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,-0.22,4.79,65,63,69,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",0.54,-3.77,0,0,94,Technology,Semiconductors
KO,The Coca-Cola Company,-1.13,0.64,40,39,67,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,-0.88,2.03,47,47,63,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,-1.29,8.45,56,50,54,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,-0.7,-4.34,63,56,59,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,5.25,5.25,68,66,15,Consumer Cyclical,Internet Retail
CYATY,"Contemporary Amperex Technology Co., Limited",-1.42,-2.36,0,0,20,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,-0.89,-2.6,54,48,62,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,0.0,-0.86,41,31,61,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,0.22,1.19,15,9,3,Communication Services,Telecom Services
NVS,Novartis AG,-1.83,-2.39,42,39,53,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,0.37,6.22,21,14,33,Communication Services,Telecom Services
NVSEF,Novartis AG,0.0,3.2,92,85,64,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,-1.02,-1.02,61,53,65,Financial Services,Banks - Diversified
KLAC,KLA Corporation,-0.03,2.02,2,0,85,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,0.99,0.83,65,57,24,Consumer Cyclical,Auto Manufacturers
LRLCF,L'Oréal S.A.,0.19,-1.99,57,51,32,Consumer Defensive,Household & Personal Products
SMAWF,Siemens Aktiengesellschaft,-0.45,3.42,78,64,60,Industrials,Specialty Industrial Machinery
PANW,"Palo Alto Networks, Inc.",12.83,17.55,81,84,96,Technology,Computer peripheral equipment
BHP,BHP Group Limited,0.04,12.19,79,74,87,Energy,Coal Mining
AXP,American Express Company,-0.59,-1.0,0,9,37,Finance,Finance: Consumer Services
SAP,SAP SE,4.48,22.27,100,93,48,Technology,Computer Software: Prepackaged Software
APP,AppLovin Corporation,1.47,-22.59,9,8,2,Technology,Computer Software: Programming Data Processing
ADI,"Analog Devices, Inc.",0.73,2.14,29,11,67,Technology,Semiconductors
HESAF,Hermès International Société en commandite par actions,0.49,2.07,31,35,10,Consumer Cyclical,Luxury Goods
CMWAY,Commonwealth Bank of Australia,-0.42,-11.05,0,0,33,Financial Services,Banks - Diversified
PEP,"PepsiCo, Inc.",-1.74,-0.34,27,28,23,Consumer Staples,Beverages (Production/Distribution)
IDEXF,"Industria de Diseño Textil, S.A.",1.5,4.38,59,57,64,Consumer Cyclical,Apparel Retail
ABLZF,ABB Ltd,1.15,-0.97,14,14,65,Industrials,Electrical Equipment & Parts
RIO,Rio Tinto Group,0.08,10.19,78,74,80,Basic Materials,Metal Mining
TMO,Thermo Fisher Scientific Inc.,-0.47,9.35,90,85,74,Industrials,Industrial Machinery/Components
AMGN,Amgen Inc.,-0.76,13.39,83,76,83,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RTPPF,Rio Tinto Group,0.0,12.39,66,59,78,Basic Materials,Other Industrial Metals & Mining
DIS,The Walt Disney Company,-2.56,11.09,63,60,35,Consumer Discretionary,Services-Misc. Amusement & Recreation
TJX,"The TJX Companies, Inc.",-1.91,-15.46,0,0,16,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ALIZY,Allianz SE,-1.62,3.79,60,55,72,Financial Services,Insurance - Diversified
EADSY,Airbus SE,-1.34,0.0,0,0,55,Industrials,Aerospace & Defense
SMEGF,Siemens Energy AG,-1.8,8.7,24,16,60,Industrials,Specialty Industrial Machinery
DTEGY,Deutsche Telekom AG,-2.81,5.16,39,29,24,Communication Services,Telecom Services
FRCOF,"Fast Retailing Co., Ltd.",-7.85,-15.03,0,0,36,Consumer Cyclical,Apparel Retail
GLW,Corning Incorporated,0.01,13.0,33,30,85,Industrials,Telecommunications Equipment
SHOP,Shopify Inc.,2.69,26.09,93,95,69,Technology,Computer Software: Prepackaged Software
IBDSF,"Iberdrola, S.A.",-0.51,0.73,25,26,50,Utilities,Utilities - Diversified
RYCEY,Rolls-Royce Holdings plc,-1.0,6.11,52,49,81,Industrials,Aerospace & Defense
TOELY,Tokyo Electron Limited,1.22,1.13,33,34,91,Technology,Semiconductor Equipment & Materials
SAFRY,Safran SA,-2.07,0.69,0,0,59,Industrials,Aerospace & Defense
HTHIY,"Hitachi, Ltd.",2.76,2.88,42,39,51,Industrials,Conglomerates
WELL,Welltower Inc.,-0.81,2.07,80,71,73,Real Estate,Real Estate Investment Trusts
UBER,"Uber Technologies, Inc.",-1.96,9.35,69,65,29,Consumer Discretionary,Business Services
CIHHF,"China Merchants Bank Co., Ltd.",2.22,5.57,100,100,49,Financial Services,Banks - Regional
DBSDY,DBS Group Holdings Ltd,-0.72,3.23,63,55,86,Financial Services,Banks - Regional
COP,ConocoPhillips,-0.83,9.54,69,67,78,Energy,Integrated oil Companies
PLDGP,"Prologis, Inc.",0.0,-0.87,9,15,31,Real Estate,REIT - Industrial
BBVXF,"Banco Bilbao Vizcaya Argentaria, S.A.",-1.15,5.99,34,27,85,Financial Services,Banks - Diversified
BTAFF,British American Tobacco p.l.c.,-1.3,-7.88,13,9,24,Consumer Defensive,Tobacco
BKNG,Booking Holdings Inc.,-3.03,4.82,39,37,53,Consumer Discretionary,Transportation Services
NOW,"ServiceNow, Inc.",10.04,25.77,100,100,51,Technology,Computer Software: Prepackaged Software
CFRUY,Compagnie Financière Richemont SA,0.17,-0.76,47,49,67,Consumer Cyclical,Luxury Goods
IFNNF,Infineon Technologies AG,3.2,5.36,42,40,75,Technology,Semiconductors
IFNNY,Infineon Technologies AG,3.83,-2.42,29,25,69,Technology,Semiconductors
KYCCF,Keyence Corporation,3.14,2.95,47,42,76,Technology,Scientific & Technical Instruments
VRT,Vertiv Holdings Co,2.07,18.36,47,44,80,Technology,Industrial Machinery/Components
PDD,PDD Holdings Inc.,-2.36,-3.15,13,18,12,Technology,EDP Services
ENNPF,Enbridge Inc.,0.0,2.6,70,59,46,Energy,Oil & Gas Midstream
ZIJMF,Zijin Mining Group Company Limited,0.21,20.6,73,71,62,Basic Materials,Gold
