ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,-1.25,-11.22,7,12,56,Technology,Semiconductors
AAPL,Apple Inc,1.73,-6.61,47,42,66,Technology,Computer Manufacturing
AVGO,Broadcom Inc,-2.23,-23.18,0,0,64,Technology,Semiconductors
META,Meta Platforms Inc,8.81,2.65,91,97,26,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,-6.89,3.71,66,68,97,Technology,Semiconductors
ASMLF,ASML Holding N.V.,-7.87,8.13,55,57,91,Technology,Semiconductor Equipment & Materials
XOM,Exxon Mobil Corporation,-0.32,-8.88,0,7,44,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,-2.47,-6.36,27,25,11,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,1.72,9.37,100,100,30,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,-9.71,17.08,67,69,96,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,7.77,-17.38,52,55,11,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,-0.04,-11.66,1,7,36,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",-9.97,32.83,73,75,96,Technology,Semiconductors
KO,The Coca-Cola Company,0.02,4.34,58,53,59,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,-2.01,2.55,40,48,55,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,0.0,-0.3,70,60,55,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,0.12,-8.71,2,10,33,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,0.59,-22.48,15,17,9,Consumer Cyclical,Internet Retail
CYATY,CYATY,0.85,-8.41,34,36,58,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,0.39,-6.74,4,13,36,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,-0.94,-3.67,22,27,44,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,-5.09,-34.19,0,0,36,Communication Services,Telecom Services
NVS,Novartis AG,-1.65,7.43,71,72,59,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,-5.9,-35.32,0,0,84,Communication Services,Telecom Services
NVSEF,Novartis AG,0.0,6.41,77,79,58,Healthcare,Drug Manufacturers - General
BACHY,Bank of China Limited,0.5,-5.23,5,14,48,Financial Services,Banks - Diversified
KLAC,KLA Corporation,-11.77,30.15,67,69,95,Technology,Electronic Components
TOYOF,Toyota Motor Corporation,-0.06,-8.27,7,14,14,Consumer Cyclical,Auto Manufacturers
LRLCF,L'Oréal S.A.,-3.15,-0.48,16,24,43,Consumer Defensive,Household & Personal Products
SMAWF,Siemens Aktiengesellschaft,-1.15,-1.13,40,44,68,Industrials,Specialty Industrial Machinery
PANW,"Palo Alto Networks, Inc.",3.23,18.46,100,100,93,Technology,Computer peripheral equipment
BHP,BHP Group Limited,-1.31,-11.73,1,4,81,Energy,Coal Mining
AXP,American Express Company,2.88,11.91,99,97,47,Finance,Finance: Consumer Services
SAP,SAP SE,3.27,-16.6,25,28,7,Technology,Computer Software: Prepackaged Software
APP,AppLovin Corporation,9.58,-6.77,95,93,67,Technology,Computer Software: Programming Data Processing
ADI,"Analog Devices, Inc.",-2.06,-8.09,0,0,84,Technology,Semiconductors
HESAF,Hermès International Société en commandite par actions,-1.14,-2.62,10,20,12,Consumer Cyclical,Luxury Goods
CMWAY,Commonwealth Bank of Australia,-3.72,-6.48,0,0,29,Financial Services,Banks - Diversified
PEP,"PepsiCo, Inc.",4.25,0.45,44,44,35,Consumer Staples,Beverages (Production/Distribution)
IDEXF,"Industria de Diseño Textil, S.A.",2.83,6.91,49,57,59,Consumer Cyclical,Apparel Retail
ABLZF,ABB Ltd,-1.32,-1.09,52,63,86,Industrials,Electrical Equipment & Parts
RIO,Rio Tinto Group,-1.66,-16.41,0,0,73,Basic Materials,Metal Mining
TMO,Thermo Fisher Scientific Inc.,2.39,6.59,81,81,47,Industrials,Industrial Machinery/Components
AMGN,Amgen Inc.,-0.22,10.07,83,83,62,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RTPPF,Rio Tinto Group,0.0,-13.42,1,9,76,Basic Materials,Other Industrial Metals & Mining
DIS,The Walt Disney Company,-0.56,-4.9,0,10,20,Consumer Discretionary,Services-Misc. Amusement & Recreation
TJX,"The TJX Companies, Inc.",-0.1,-1.52,0,8,41,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ALIZY,Allianz SE,-0.11,7.81,94,92,60,Financial Services,Insurance - Diversified
EADSY,Airbus SE,1.46,12.8,100,100,52,Industrials,Aerospace & Defense
SMEGF,Siemens Energy AG,-2.66,1.87,68,76,79,Industrials,Specialty Industrial Machinery
DTEGY,Deutsche Telekom AG,1.17,-17.73,5,10,11,Communication Services,Telecom Services
FRCOF,"Fast Retailing Co., Ltd.",-3.4,-1.34,64,63,85,Consumer Cyclical,Apparel Retail
GLW,Corning Incorporated,-13.62,10.09,56,56,96,Industrials,Telecommunications Equipment
SHOP,Shopify Inc.,6.52,3.95,100,100,24,Technology,Computer Software: Prepackaged Software
IBDSF,"Iberdrola, S.A.",0.04,9.66,85,84,65,Utilities,Utilities - Diversified
RYCEY,Rolls-Royce Holdings plc,-0.26,11.76,99,100,75,Industrials,Aerospace & Defense
TOELY,Tokyo Electron Limited,-7.0,31.28,66,66,94,Technology,Semiconductor Equipment & Materials
SAFRY,Safran SA,1.35,16.08,100,100,66,Industrials,Aerospace & Defense
